Sample,DNAmAge,Comment,noMissingPerSample,meanMethBySample,minMethBySample,maxMethBySample,corSampleVSgoldstandard,meanAbsDifferenceSampleVSgoldstandard,predictedGender,meanXchromosome
GSM990385,58.5437680268191,,0,0.281534418991115,0,0.996469,0.964914291552315,0.061757339844571,male,0
GSM989849,89.0492847143918,,0,0.272610076992468,0,0.99643,0.964068330614605,0.061122230074345,male,0
GSM990329,51.1926994835057,,0,0.278326079822972,0,0.9971897,0.968166390625362,0.058584486789056,male,0
GSM990480,39.4018423424962,,0,0.278192306266344,0,0.9972423,0.969323273015898,0.057334466023392,male,0
GSM990116,57.1939181969916,,0,0.278466374833667,0,0.9971299,0.969718819245705,0.05681662715259,male,0
GSM989855,70.199534561193,,0,0.27723947861904,0,0.9961438,0.968937914305716,0.056847191081445,male,0
GSM989848,62.7942770863467,,0,0.26812719328128,0,0.995351,0.966568807245838,0.057056329925029,male,0
GSM990517,34.9443920063199,,0,0.288949023885862,0,0.9971157,0.96829324384039,0.062187400595785,male,0
GSM990621,67.6853367331876,,0,0.285439148428856,0,0.9969178,0.966366601000578,0.062263460455119,male,0
GSM990485,52.0405732297037,,0,0.279095557581145,0,0.9941546,0.967869035702648,0.059122800669661,male,0
GSM989840,52.6634107343263,,0,0.27649582599386,0,0.9968127,0.96617132117932,0.059701412538718,male,0
GSM990059,73.5403030066209,,0,0.268294295758844,0,0.9938429,0.965789586575301,0.057697214226946,male,0
GSM990307,61.853863706033,,0,0.280299827863639,0,0.9971961,0.962667507903429,0.064278435902032,male,0
GSM990327,42.5337898099423,,0,0.274970719162348,0,0.9966887,0.96870030056924,0.057109573459062,male,0
GSM990384,53.4941337741837,,0,0.283792028419432,0,0.9970332,0.96563016025255,0.062876583899775,male,0
GSM990279,54.348889994054,,0,0.276402181875623,0,0.9974149,0.966781388942411,0.059318980211631,male,0
GSM990432,70.3970596644414,,0,0.289973825315488,0,0.9973288,0.961234890912431,0.068459712517974,male,0
GSM990516,61.9959807822854,,0,0.284045487659263,0,0.9975048,0.960975128132533,0.066270532501969,male,0
GSM990000,80.0848285692273,,0,0.269286885039714,0,0.9969358,0.966251501281679,0.058021137947813,male,0
GSM989837,73.7972452310969,,0,0.27136684424529,0,0.9961144,0.963826977034055,0.060064150800003,male,0
GSM990337,61.5819675166654,,0,0.269653824799663,0,0.9946203,0.966224256741475,0.058564265003724,male,0
GSM990594,75.2110259495617,,0,0.287497781749837,0,0.9968907,0.958856277704646,0.06938329665407,male,0
GSM989990,55.153175380946,,0,0.270063875439732,0,0.9967329,0.968857314537628,0.055392182777375,male,0
GSM990027,84.2254706422693,,0,0.270778352839937,0,0.9965517,0.965758399286666,0.058855563184917,male,0
GSM990009,62.8028338290584,,0,0.279852624063139,0,0.997211,0.966979861222465,0.06015292426814,male,0
GSM989904,80.6131454614853,,0,0.269293850761811,0,0.9953803,0.965456630243096,0.058156400620183,male,0
GSM990500,34.341724799891,,0,0.279872982828783,0,0.9970402,0.968760867530183,0.058870622516473,male,0
GSM990097,40.6613595635937,,0,0.279477749003569,0,0.9969011,0.967202656126562,0.060475568701671,male,0
GSM990020,82.5092705741764,,0,0.275554702955876,0,0.9970278,0.962177177113702,0.061533090978443,male,0
GSM990386,52.6987768210567,,0,0.280829110705424,0,0.9958743,0.968174752637991,0.059409637584748,male,0
GSM990465,65.8103505750387,,0,0.279011376165343,0,0.9965153,0.968825373030003,0.058608244625248,male,0
GSM990505,52.7867027328438,,0,0.280219790035182,0,0.9963424,0.968129008416618,0.059408754622913,male,0
GSM990562,80.1482646217755,,0,0.275863532305139,0,0.9969938,0.959075667353212,0.064885404213257,male,0
GSM990548,63.5271368869425,,0,0.277063968010145,0,0.9969196,0.966619165701396,0.0600438080944,male,0
GSM990576,75.7848238306834,,0,0.278867125133878,0,0.9969251,0.965783674811594,0.060998146012388,male,0
GSM990611,59.6946197821781,,0,0.293927211963617,0,0.99743,0.961704319708899,0.069547884903273,male,0
GSM990091,48.7337603937263,,0,0.277209616313996,0,0.9972138,0.96878536567607,0.057913387564825,male,0
GSM990294,59.1514631223887,,0,0.275675005493978,0,0.9976026,0.967045807983907,0.058973091308452,male,0
GSM990017,74.2129971187543,,0,0.269935711591316,0,0.9955819,0.963088402172744,0.060087938345094,male,0
GSM989939,65.3530317108103,,0,0.273653117804537,0,0.9970797,0.9667414592602,0.058858853645669,male,0
GSM990397,70.7545868377641,,0,0.27867044516115,0,0.9972333,0.962698595772756,0.063396481702484,male,0
GSM989996,39.5593148184386,,0,0.274326842372443,0,0.9972313,0.968609814791935,0.056952476502241,male,0
GSM990512,65.1647221991292,,0,0.287649193907983,0,0.9971796,0.961329663720691,0.066903288449829,male,0
GSM989851,69.2503606957009,,0,0.27936969556873,0,0.9957275,0.967103765617355,0.060025888311312,male,0
GSM989937,55.9145278142635,,0,0.279363930170126,0,0.9964961,0.968439384183751,0.058243172368355,male,0
GSM990273,62.5429222730935,,0,0.278855425482948,0,0.9968601,0.966814425164665,0.060141428075357,male,0
GSM990355,42.4729913017572,,0,0.291699607538929,0,0.9983088,0.9593356497889,0.069457430598267,male,0
GSM990440,63.1289537982214,,0,0.282833218017186,0,0.9968926,0.965048203098064,0.063187903445154,male,0
GSM990317,62.0913795888291,,0,0.278319023096484,0,0.9970924,0.966029807931113,0.061232453555753,male,0
GSM990372,61.025452025935,,0,0.289432030334928,0,0.9972337,0.960691967503274,0.068194333804331,male,0
GSM989979,60.3245686847579,,0,0.273441779367785,0,0.9970348,0.969908810600685,0.055257231548106,male,0
GSM990334,58.7492303120542,,0,0.279472082207691,0,0.9973289,0.960756659984313,0.065317698344318,male,0
GSM989959,60.3960766650139,,0,0.282874812623609,0,0.9969681,0.967926332553328,0.059986455781741,male,0
GSM990369,45.6837491375575,,0,0.2859781652156,0,0.9968967,0.964903076049698,0.063990486815445,male,0
GSM990321,61.3974433401305,,0,0.276691740946988,0,0.9974948,0.967681697318521,0.059007957639668,male,0
GSM990057,58.0607422060109,,0,0.270799698007504,0,0.9970151,0.968099611236771,0.055868442951195,male,0
GSM990360,56.4745925807965,,0,0.290072563107371,0,0.9979717,0.957052959843041,0.071305734691384,male,0
GSM990502,46.9184015154201,,0,0.283371834701208,0,0.9974858,0.969039036638859,0.05935994832186,male,0
GSM990507,45.0217482029413,,0,0.281263632946734,0,0.9968517,0.9688588484462,0.059370013289353,male,0
GSM990446,59.0005743479656,,0,0.278817711931937,0,0.9966405,0.967669649725954,0.059512497581746,male,0
GSM990445,74.9480143683646,,0,0.277183401138061,0,0.996734,0.965637114939464,0.060922422969549,male,0
GSM990437,59.0709111838895,,0,0.284443763182233,0,0.9967287,0.966036932312184,0.063476178761183,male,0
GSM990421,85.8510519559565,,0,0.288012457698759,0,0.9974307,0.963522518625969,0.065395386333264,male,0
GSM990571,73.8921971114634,,0,0.280073926434662,0,0.9969902,0.966944757754312,0.060441403831129,male,0
