"SampleID","DNAmAge","Comment","noMissingPerSample","meanMethBySample","minMethBySample","maxMethBySample","corSampleVSgoldstandard","meanAbsDifferenceSampleVSgoldstandard","predictedGender","meanXchromosome"
"E.GEOD.36194_GSM884569",67.9697721618866," Warning: meanMethBySample is <0.25 Warning: Relatively low correlation between the methylation levels of this sample and the expected values: corSampleVSgoldstandard<0.85.",0,0.249218239191408,0,0.9934288,0.835975332189791,0.104300398025354,"female",0.492749702472811
"E.GEOD.36194_GSM884577",63.6681183738586," Warning: meanMethBySample is <0.25 Warning: Relatively low correlation between the methylation levels of this sample and the expected values: corSampleVSgoldstandard<0.85.",0,0.245647777142372,0,0.995028,0.837810683566228,0.105214962220626,"female",0.466575080494931
"E.GEOD.36194_GSM884580",65.7673563368243," Warning: meanMethBySample is <0.25 Warning: Relatively low correlation between the methylation levels of this sample and the expected values: corSampleVSgoldstandard<0.85.",0,0.249133311558962,0,0.99467,0.847074890227685,0.100030789188915,"male",0.33685572821106
"E.GEOD.36194_GSM884599",26.9809356247391," Warning: meanMethBySample is <0.25 Warning: Relatively low correlation between the methylation levels of this sample and the expected values: corSampleVSgoldstandard<0.85.",0,0.246459621957413,0,0.9951047,0.839915694548368,0.0992897672766176,"female",0.454728982895853
"E.GEOD.36194_GSM884582",62.1003212638436,"",0,0.2577638805095,0,0.9942436,0.867090676542728,0.0813063347492662,"female",0.482678536775115
"E.GEOD.36194_GSM884574",60.7197725153731," Warning: Relatively low correlation between the methylation levels of this sample and the expected values: corSampleVSgoldstandard<0.85.",0,0.253304890820058,0,0.9920209,0.845686707388149,0.0879860152387781,"male",0.364652768930876
"E.GEOD.36194_GSM884575",59.723934507801," Warning: Relatively low correlation between the methylation levels of this sample and the expected values: corSampleVSgoldstandard<0.85.",0,0.251585688363862,0,0.9943305,0.840992779096898,0.103536240075491,"male",0.335223911411982
"E.GEOD.36194_GSM884596",50.0926550071771," Warning: Relatively low correlation between the methylation levels of this sample and the expected values: corSampleVSgoldstandard<0.85.",0,0.254545422408588,0,0.9945599,0.833233289649593,0.104254660799043,"male",0.34258504162765
"E.GEOD.36194_GSM884571",69.1556480412043,"",0,0.256522656383003,0,0.9949574,0.854101982678338,0.10229808208359,"male",0.3405549407447
"E.GEOD.36194_GSM884584",22.3235123374193,"",0,0.255900541335829,0,0.9916098,0.864716569097284,0.0922661711202253,"male",0.346772316691244
"E.GEOD.36194_GSM884570",61.2657773743231," Warning: Relatively low correlation between the methylation levels of this sample and the expected values: corSampleVSgoldstandard<0.85.",0,0.251145607045161,0,0.993408,0.836137116686534,0.0903982190705501,"female",0.495617413506912
"E.GEOD.36194_GSM884598",25.5460988386602," Warning: meanMethBySample is <0.25 Warning: Relatively low correlation between the methylation levels of this sample and the expected values: corSampleVSgoldstandard<0.85.",0,0.248634183643397,0,0.9938958,0.836138632301412,0.100629048347225,"female",0.446679706807373
"E.GEOD.36194_GSM884601",38.7635313802517," Warning: Relatively low correlation between the methylation levels of this sample and the expected values: corSampleVSgoldstandard<0.85.",0,0.250503645696471,0,0.9948482,0.831128811101165,0.10311830909382,"male",0.339763804976959
"E.GEOD.36194_GSM884586",36.8687420827135," Warning: Relatively low correlation between the methylation levels of this sample and the expected values: corSampleVSgoldstandard<0.85.",0,0.254346656883611,0,0.9936365,0.838997924526144,0.0994602683236289,"male",0.359101761856221
