,Sample,Age,Sex,Tissue
9,E-GEOD-36194_GSM884569,85.0,female,cerebellum
27,E-GEOD-36194_GSM884577,85.0,female,cerebellum
28,E-GEOD-36194_GSM884580,81.0,male,cerebellum
53,E-GEOD-36194_GSM884599,14.0,female,cerebellum
60,E-GEOD-36194_GSM884582,86.0,female,cerebellum
63,E-GEOD-36194_GSM884574,69.0,male,cerebellum
92,E-GEOD-36194_GSM884575,78.0,male,cerebellum
93,E-GEOD-36194_GSM884596,67.0,male,cerebellum
95,E-GEOD-36194_GSM884571,84.0,male,cerebellum
96,E-GEOD-36194_GSM884584,16.0,male,cerebellum
97,E-GEOD-36194_GSM884570,73.0,female,cerebellum
103,E-GEOD-36194_GSM884598,25.0,female,cerebellum
116,E-GEOD-36194_GSM884601,45.0,male,cerebellum
120,E-GEOD-36194_GSM884586,34.0,male,cerebellum
124,E-GEOD-36194_GSM884593,16.0,male,cerebellum
127,E-GEOD-36194_GSM884585,48.0,female,cerebellum
135,E-GEOD-36194_GSM884568,86.0,female,cerebellum
139,E-GEOD-36194_GSM884591,16.0,male,cerebellum
145,E-GEOD-36194_GSM884592,90.0,male,cerebellum
150,E-GEOD-36194_GSM884603,68.0,male,cerebellum
151,E-GEOD-36194_GSM884604,77.0,female,cerebellum
152,E-GEOD-36194_GSM884576,86.0,male,cerebellum
153,E-GEOD-36194_GSM884572,85.0,female,cerebellum
158,E-GEOD-36194_GSM884602,15.0,male,cerebellum
160,E-GEOD-36194_GSM884579,70.0,female,cerebellum
168,E-GEOD-36194_GSM884587,70.0,male,cerebellum
176,E-GEOD-36194_GSM884595,43.0,male,cerebellum
178,E-GEOD-36194_GSM884597,89.0,male,cerebellum
193,E-GEOD-36194_GSM884573,82.0,female,cerebellum
197,E-GEOD-36194_GSM884606,6.0,male,cerebellum
204,E-GEOD-36194_GSM884578,73.0,male,cerebellum
210,E-GEOD-36194_GSM884600,18.0,female,cerebellum
211,E-GEOD-36194_GSM884594,13.0,male,cerebellum
227,E-GEOD-36194_GSM884605,17.0,male,cerebellum
228,E-GEOD-36194_GSM884589,10.0,female,cerebellum
235,E-GEOD-36194_GSM884588,42.0,female,cerebellum
244,E-GEOD-36194_GSM884590,33.0,female,cerebellum
250,E-GEOD-36194_GSM884581,69.0,male,cerebellum
264,E-GEOD-36194_GSM884607,56.0,male,cerebellum
272,E-GEOD-36194_GSM884583,19.0,male,cerebellum
286,E-GEOD-15745_GSM401645,18.0,female,cerebellum
287,E-GEOD-15745_GSM401649,72.0,female,cerebellum
