,Unnamed: 0_x,Reporter Identifier,p,fold_change,abs_change,Rejection on 0.05,qval,Unnamed: 0_y,UCSC_RefGene_Name,Name,cluster
0,34,cg00032666,0.007932328139420389,1.296277617402373,0.20855099999999985,True,0.018941260273009693,32.0,mastermind like domain containing 1,cg00032666,1
1,127,cg00126698,0.0010641032365934994,1.3212486311746916,0.20805205000000004,True,0.003924696260161671,120.0,Bruton tyrosine kinase,cg00126698,1
3,196,cg00186701,3.0487661336567154e-11,2.1157698975889043,0.2213866,True,1.6603229065739156e-09,188.0,TSPY like 5,cg00186701,2
4,391,cg00403724,0.0002544395155607437,1.7469917372100312,0.3675658000000001,True,0.0012689373767375547,373.0,tenomodulin,cg00403724,1
5,477,cg00488364,0.0010622303121734463,1.3507601146598152,0.24473709999999996,True,0.003919973462394674,459.0,interleukin 13 receptor subunit alpha 2,cg00488364,1
6,591,cg00603172,1.842781229633203e-07,1.6411377580476767,0.21432529999999989,True,3.146638116432386e-06,573.0,BCL2 family apoptosis regulator BOK,cg00603172,2
8,620,cg00629585,1.2918053832661999e-11,1.573617790978897,0.21567745000000005,True,7.73534232554446e-10,604.0,growth factor independent 1B transcriptional repressor,cg00629585,0
9,802,cg00819362,9.915269872192133e-14,1.9997141451212948,0.217181,True,1.0934476987804549e-11,777.0,CAP-Gly domain containing linker protein 3,cg00819362,2
10,853,cg00874863,0.008310843785975228,1.3914858405901007,0.2479368500000001,True,0.019625544475678654,830.0,LHFPL tetraspan subfamily member 1,cg00874863,1
15,1206,cg01254505,7.199674844986441e-13,1.3763780450910466,0.20284795,True,5.917819693237768e-11,1174.0,bone marrow stromal cell antigen 2,cg01254505,0
16,1223,cg01274660,1.7427123740540444e-18,2.6923715153724044,0.2082574,True,7.817689560014982e-16,1190.0,thyroid hormone receptor interactor 6,cg01274660,0
17,1275,cg01324261,6.495824548137412e-26,1.7990566699155357,0.25529525,True,2.1490623539444107e-22,1241.0,stimulator of chondrogenesis 1,cg01324261,0
18,1284,cg01335367,1.680540049382632e-10,1.798284954817723,0.34857835,True,7.1740086269371165e-09,1250.0,family with sequence similarity 222 member A,cg01335367,0
20,1559,cg01617750,8.944702185921447e-05,1.3909274771520772,0.2107543000000001,True,0.0005486429496055225,1517.0,CKLF like MARVEL transmembrane domain containing 8,cg01617750,2
21,1597,cg01655355,3.279766037646133e-11,2.2771012509053143,0.29465394999999994,True,1.7643408072841504e-09,1554.0,solute carrier family 5 member 5,cg01655355,0
22,1622,cg01671575,3.174488108180694e-12,2.3730322724593664,0.2781508,True,2.1994548889847757e-10,1577.0,piggyBac transposable element derived 5,cg01671575,2
24,1677,cg01731685,1.3932008759920372e-13,1.5794014712820863,0.2399546,True,1.4460332386227941e-11,1627.0,interleukin 17 receptor A,cg01731685,0
25,1709,cg01772980,2.131848663703801e-09,1.9300258247119413,0.21798680000000006,True,6.545665728799131e-08,1660.0,secretoglobin family 1D member 1,cg01772980,2
28,1946,cg02008416,1.0292718431396616e-13,2.096640114345877,0.3035218,True,1.1303625673185653e-11,1895.0,transmembrane protein 61,cg02008416,2
31,2097,cg02170525,3.165883037342165e-10,1.4964331593483915,0.22991505,True,1.2468962254365341e-08,2040.0,CD8a molecule,cg02170525,0
32,2114,cg02192520,1.5478051790874637e-10,1.5276807090365114,0.22467174999999995,True,6.6719478297895615e-09,2057.0,retinol dehydrogenase 5,cg02192520,0
34,2233,cg02301815,1.5568966991704763e-21,1.3354852196762133,0.23390105000000005,True,1.4716566048908925e-18,2175.0,KAT8 regulatory NSL complex subunit 1,cg02301815,2
35,2242,cg02310296,8.23245168704167e-12,1.5411477582996207,0.25001434999999994,True,5.163229829405969e-10,2183.0,matrix metallopeptidase 9,cg02310296,0
36,2264,cg02332073,4.662033133816946e-27,2.071186656835422,0.3057344000000001,True,1.762714727896187e-23,2204.0,testis specific 13,cg02332073,0
37,2273,cg02337447,1.335562678906304e-16,1.4002537141460385,0.20828754999999988,True,3.303582936692817e-14,2213.0,SCO cytochrome c oxidase assembly protein 1,cg02337447,2
38,2410,cg02518339,0.005785523278143153,1.3693286339904525,0.21062535000000004,True,0.014791870614626626,2341.0,cysteinyl leukotriene receptor 1,cg02518339,1
39,2605,cg02724472,7.220707773130977e-19,2.1763201964817367,0.20805739999999995,True,3.4981489544646427e-16,2532.0,leucine rich repeat containing 17,cg02724472,0
40,2609,cg02727423,2.2585643292397513e-23,2.1671230944983937,0.21270655,True,3.736088881374281e-20,2536.0,EMAP like 1,cg02727423,2
41,2696,cg02818322,0.0045931228854539105,1.324139325619444,0.20718069999999988,True,0.012329227526299051,2620.0,MAGE family member C3,cg02818322,1
44,2969,cg03096975,1.0380453008062418e-14,1.3692867533482551,0.2216958000000001,True,1.5348572612535644e-12,2891.0,EMAP like 2,cg03096975,0
47,3049,cg03161453,0.0029577104824181784,1.7001417572289024,0.39830725,True,0.008736799479705572,,,,1
48,3094,cg03218909,7.997140488351349e-23,1.7159745838911422,0.26874285,True,1.0079062728818817e-19,3008.0,hyaluronan and proteoglycan link protein 2,cg03218909,0
49,3193,cg03330678,1.1468190624681277e-06,1.4964692615021429,0.25467905,True,1.5093416273666802e-05,3108.0,septin 9,cg03330678,2
50,3219,cg03364504,6.657336935437545e-11,1.4389356624698637,0.22398414999999994,True,3.256926740669603e-09,,,,2
51,3320,cg03459809,3.730824583731323e-09,1.3488429369030988,0.2031839,True,1.0785304553817476e-07,3225.0,epoxide hydrolase 1,cg03459809,0
52,3401,cg03543593,1.6690115990177672e-09,1.4911326871558763,0.21059195000000008,True,5.265045290965821e-08,3307.0,tenascin XB,cg03543593,0
53,3487,cg03626672,9.864471514529184e-17,1.7440715121370522,0.2557049000000001,True,2.5596369370102345e-14,3386.0,atypical chemokine receptor 3,cg03626672,0
54,3542,cg03699566,2.0231101358380707e-15,1.4575660461023694,0.21741905000000009,True,3.6179497273801495e-13,3442.0,folate receptor alpha,cg03699566,0
57,3827,cg03959079,0.00047567472272383866,1.61120289270297,0.30409040000000004,True,0.002082660527102041,3719.0,TGF-beta activated kinase 1 (MAP3K7) binding protein 3,cg03959079,1
60,3946,cg04081402,1.2356674829845685e-15,1.3131309654408845,0.20058880000000007,True,2.3871833045366843e-13,3838.0,transcobalamin 2,cg04081402,0
61,4056,cg04216597,2.6462744946888835e-13,1.6394087995138031,0.23898425,True,2.466762665435444e-11,,,,0
65,4174,cg04338788,2.4959188973697005e-13,1.644917482437464,0.27954935000000003,True,2.374883545403573e-11,4058.0,semaphorin 3G,cg04338788,2
67,4191,cg04355435,9.496892165181329e-18,2.0242991579533456,0.25553145000000005,True,3.396678985619652e-15,4075.0,transmembrane protein 125,cg04355435,0
68,4268,cg04439215,6.950752406721534e-23,2.5475948687618937,0.31858285,True,9.509799066756734e-20,4150.0,potassium channel tetramerization domain containing 4,cg04439215,0
70,4316,cg04482110,2.0223206571780016e-18,1.646649527422584,0.2607589,True,8.774550956316422e-16,4194.0,transmembrane protein 106A,cg04482110,0
71,4375,cg04533291,1.4851656897068183e-12,2.1048726584075905,0.29240930000000004,True,1.1041539412772573e-10,4251.0,cytosolic iron-sulfur assembly component 1,cg04533291,2
