,Reporter Identifier,p,fold_change,abs_change
0,cg00000292,0.04269812627718692,1.118084669385332,0.06245200000000006
1,cg00002426,0.014423674556122597,1.6480533311173386,0.023239510000000005
2,cg00003994,0.07309817753903156,1.5108472575114715,0.008553909999999998
3,cg00005847,0.6558533833492505,1.3804867762603148,0.030259709999999995
4,cg00006414,0.27475092704321336,1.2900057617568539,0.0072504499999999986
5,cg00007981,0.029453720234782033,1.6784377083838369,0.00943139
6,cg00008493,0.0710082433254179,1.0037651282022535,0.0036941000000001445
7,cg00008713,0.0002869795846528727,1.3397947760165683,0.005856469999999999
8,cg00009407,0.0005258297792930771,6.379708116282956,0.043675198
9,cg00010193,0.002683677402671064,1.1021836675298775,0.059195999999999804
10,cg00011459,0.016299744299736543,1.0236000877214095,0.02181870000000008
11,cg00012199,0.1901190382111774,1.532388649866678,0.0039360555
12,cg00012386,0.006483212958452252,1.3445586298776662,0.0035729299999999985
13,cg00012792,5.071686930481125e-05,1.414360772010779,0.005571035
14,cg00013618,0.08335676941993946,1.0127574648070843,0.01152395000000006
15,cg00014085,0.8630406627434702,1.4898025848758587,0.008831650000000003
16,cg00014837,0.03736132522853671,1.0383824990503765,0.03259764999999981
17,cg00015770,0.004663911317775148,1.2334550736676233,0.01637383499999999
18,cg00016968,0.22402858464674955,1.0382850780801502,0.03301149999999997
19,cg00019495,0.010778595061657183,1.8274960190782632,0.024143569999999996
20,cg00020533,0.16799154708968525,1.0192363636111352,0.018022450000000023
21,cg00021527,0.2645460402411925,1.4040673548597697,0.0036318085
22,cg00022606,1.5369748109217058e-07,1.955818270167953,0.030469030000000008
23,cg00022866,1.0667378498103732e-10,1.1378257290313303,0.09830130000000015
24,cg00024396,0.04372948623524318,1.563471935197236,0.0167031
25,cg00024812,0.5731190934559358,1.379137792285217,0.006543959999999998
26,cg00025138,0.9150724186237218,1.8495436968890715,0.01095202
27,cg00025991,9.308137575351442e-11,1.1161021781469056,0.0852624500000001
28,cg00027083,0.10703678056088425,1.8191315616482842,0.005958145500000001
29,cg00027674,0.43899504752917684,1.4091142177128166,0.034705200000000005
30,cg00029826,0.004005457200807967,1.7076139647898037,0.014141750000000002
31,cg00029931,0.0010024118607717888,24.935346502802147,0.188760629
32,cg00030047,0.05753139576181682,1.2386121683490545,0.03352495000000005
33,cg00031162,5.01258548065964e-06,2.8111666632730694,0.11741424000000002
34,cg00032227,0.22859162204484912,1.9926608511724568,0.006256788
35,cg00032666,0.007932328139420389,1.2962776174023727,0.20855099999999982
36,cg00033516,0.37402645017681546,1.3758740688421438,0.004954460000000001
37,cg00033773,4.520060198212153e-05,1.0557970515800137,0.042484500000000036
38,cg00034039,0.025328161774047196,1.3005516088971072,0.017216600000000012
39,cg00035347,0.0006442430752214314,1.769824969943995,0.06418622000000003
40,cg00035623,0.2377843601318761,1.2549919429515275,0.009486580000000008
41,cg00037763,0.0007606053604947065,1.0437104096786038,0.03698144999999997
42,cg00037940,0.007767178199359141,1.019237593527939,0.01661575000000004
43,cg00040861,0.0019111463429541888,1.4166413232462423,0.005082645
44,cg00040873,1.830644703832472e-05,1.2978481326467481,0.04096910000000001
45,cg00041575,0.8090937803344398,1.0563049121827608,0.0429752000000001
46,cg00042156,0.004656813111153305,1.0868937445888953,0.05233034999999986
47,cg00043004,2.9302148317814178e-05,1.5318780304951072,0.12660205000000002
48,cg00043080,0.010860346279095783,1.0135233892831312,0.012309349999999997
49,cg00044245,0.006742024709342852,2.1559358471718175,0.02784142
50,cg00044729,0.0011277088249958458,1.0437537258966536,0.0387780499999999
51,cg00047050,0.009553914797247492,1.2468429658455067,0.009536424999999994
52,cg00047469,0.0082349362601272,1.465687062265363,0.01075094
53,cg00049986,0.02040589464609554,1.5143579258808983,0.032898764999999996
