,Reporter Identifier,p,fold_change
0,cg00000292,8.322941506719853e-06,1.0979378836667786
1,cg00002426,5.285652614422623e-05,1.5147492804996616
2,cg00003994,0.014249675895726184,1.672987307850555
3,cg00005847,7.348266420961211e-07,1.5819146273282145
4,cg00006414,0.015917477342224724,1.503681562054574
5,cg00007981,0.04134862469604346,1.8550681295729485
6,cg00008493,0.17072590717168926,1.0152890026653092
7,cg00008713,0.014819986763666476,1.5909617814334645
8,cg00009407,6.083169878911246e-07,2.4691171037746034
9,cg00010193,2.300607500210507e-05,1.056033202026661
10,cg00011459,0.004580095194732612,1.0415830190963953
11,cg00012199,0.029508460068486855,2.0088711501036096
12,cg00012386,0.0410227178085792,1.66483417621887
13,cg00012792,0.028104112506946104,1.377936619345461
14,cg00013618,0.0015909403669430615,1.0282729175258871
15,cg00014085,0.06164297345543861,1.4466472591331767
16,cg00014837,0.048043745179773556,1.0306603747272696
17,cg00015770,8.348570763188199e-13,1.2901121226662147
18,cg00016968,6.282975107937093e-05,1.0857210590419974
19,cg00019495,0.0013347099362812846,1.479571764302062
20,cg00020533,0.01433449830481847,1.03482024260675
21,cg00021527,0.03704456641966246,2.5008965575882063
22,cg00022606,3.673781919208332e-05,1.8324705159674306
23,cg00022866,1.3244145444339043e-07,1.1080584943921936
24,cg00024396,0.0027121134329519685,1.4387429908648246
25,cg00024812,0.04185272478539605,1.7961019718093916
26,cg00025138,0.0025999958387875493,1.7071341008511864
27,cg00025991,1.8888538133939126e-05,1.0580587466830147
28,cg00027083,0.008183862811372452,3.5770675488256205
29,cg00027674,0.01677137047801426,1.204438918482056
30,cg00029826,0.004237458350115073,1.6615693010687114
31,cg00029931,9.541876418642036e-12,4.74058074418092
32,cg00030047,2.566245028289504e-07,1.2630729492228006
33,cg00031162,0.05612034317830434,1.1888227906052895
34,cg00032227,0.026416366994296822,2.1012966153072914
35,cg00032666,2.0938665688808232e-07,1.1053182737463345
36,cg00033516,0.007702821125586314,1.7800217287160631
37,cg00033773,0.012859541795936288,1.0458021731060638
38,cg00034039,0.002435817585626052,1.2038411887880485
39,cg00035347,0.0391060681442199,1.1987672292876084
40,cg00035623,0.0014978751872231823,1.376823253275076
41,cg00037763,6.890739087776215e-05,1.040619236203318
42,cg00037940,0.015142495771400871,1.0242410783012361
43,cg00040861,0.010233339803838696,2.0062714087744027
44,cg00040873,6.176856893235559e-07,1.2055453919305132
45,cg00041575,0.0019860420220163787,1.0624777514166446
46,cg00042156,1.1079519503535705e-05,1.0914461001086146
47,cg00043004,2.766520940824906e-16,1.536732822070254
48,cg00043080,0.023572630035440082,1.0246198007262484
49,cg00044245,0.0023633545081119087,2.079143831151287
50,cg00044729,0.00013252855584702615,1.0637092120841745
51,cg00047050,0.0003959598504564742,1.43677899398102
52,cg00047469,0.007594995214616283,1.3749644707175723
53,cg00049986,0.017932827374583852,1.5551489424548621
54,cg00050312,0.05243896692092918,1.7931785344294189
55,cg00051623,0.005023836585119755,1.0452520741445115
56,cg00051979,0.003876068782227755,1.4090479785300658
57,cg00053292,0.02785042511159186,1.6913316932417721
58,cg00053647,0.11586304600637166,1.8004201409017901
59,cg00054706,0.04042667390898727,1.846631896601939
60,cg00055233,1.5634138532724063e-06,1.3285384242589136
61,cg00056767,0.00014157161644319074,1.723759177190922
62,cg00057593,1.2799468457861685e-12,1.0742895506036167
63,cg00058938,0.05704928430623241,1.1624303128305877
64,cg00059225,1.039607615177363e-12,1.8549839454786656
65,cg00059424,0.0014140782028990546,2.127019710945401
66,cg00059740,0.05540824202216694,1.691855421012288
67,cg00059930,1.8890647274114455e-05,1.0658129578172948
68,cg00060762,0.0424320865040215,2.0945796704775734
69,cg00060882,3.5074218712655947e-06,1.2188122181152257
70,cg00061059,3.107672036157466e-05,1.970349319518724
71,cg00061629,2.321283259680709e-06,1.285340017071936
72,cg00062776,0.03996142524473014,1.0249863723474895
73,cg00063144,0.024017503092273577,1.024265728415895
74,cg00065385,0.018588613307940715,1.032587798824945
75,cg00065408,0.00908101194000191,1.3823761862603472
76,cg00066153,0.015206193097994706,1.0256238741995691
77,cg00066816,1.0006351817259814e-09,1.234932816643627
78,cg00067471,7.971060357523953e-05,1.2282577864575006
79,cg00069261,0.025189555996216185,1.2295917189786758
80,cg00071250,0.0011385147039270974,1.041915373615253
81,cg00071998,0.00507869262793065,1.6114635322455064
82,cg00072216,0.004365437483728052,1.8388775978502003
83,cg00075967,1.9015556745258893e-13,1.1537601110078495
84,cg00076645,0.0050748552089524045,1.6795212705594575
85,cg00077457,0.036569460154431785,1.0295704012200035
86,cg00077877,5.898665321186954e-06,1.0919349699941572
87,cg00078194,0.015185516944387795,2.158713832800447
88,cg00078867,0.0011235108593203166,1.047067175181434
89,cg00079056,4.250752093877297e-06,1.096924160388014
90,cg00079563,0.001400390550082241,1.6301726573081499
91,cg00080012,0.028167406408078216,1.9771633895758267
92,cg00081935,0.0005244323864558999,1.8806758882590693
93,cg00081975,0.0037454250463759965,1.7472813830374248
94,cg00083720,0.02184638324273095,2.0381341075614268
95,cg00083937,0.00011511263022003593,1.3423514000290941
96,cg00084687,0.0005749486668259805,2.1970313312493017
97,cg00089071,0.014979633698118527,1.6230109615912611
98,cg00090147,1.6610822734668195e-19,1.662252397910587
99,cg00091693,0.004596211246794571,1.0428254834701565
100,cg00093177,0.007596564977668721,1.0294086401744862
101,cg00094319,3.300815256133931e-08,1.0893805958360823
102,cg00094851,0.0218185973671049,1.3388794223183464
103,cg00095526,1.5580199389035406e-16,1.2411070995843727
104,cg00095674,0.021352392479656875,1.8854954467945986
105,cg00096922,0.007459598115936123,2.0986467931885815
106,cg00097536,0.003182892743719143,1.5851262113268583
107,cg00098162,0.006850709359305083,1.0334049113533958
108,cg00098239,0.02817899179241745,2.2007449675226245
109,cg00099550,0.002770670384427576,1.542154375950761
110,cg00101227,2.505160438643719e-06,1.0511186196416198
111,cg00103783,0.04046976924253953,1.8013796212755435
112,cg00105253,2.0578903069186096e-10,1.3980134342555446
113,cg00105470,2.2684880487755458e-05,2.3516326311786946
114,cg00107187,1.9067122981551165e-06,1.5752576891722
115,cg00107488,1.5517578744693981e-06,1.2231445432933539
116,cg00107632,2.4276964134138146e-05,2.0619464687678697
117,cg00108454,1.556772200172025e-22,1.210489185768004
118,cg00109274,0.0056262819193361995,1.4791444409989152
119,cg00112517,0.00019530687436730956,1.430574120817175
120,cg00113020,0.0007602336361846112,1.046013047666715
121,cg00113951,0.0041356570753892895,1.135275531949055
122,cg00115714,5.8117828322988455e-06,1.6942637091603543
123,cg00116234,0.03824846265562403,1.6954720854863579
124,cg00116838,4.8097442229245945e-06,1.2835060351455525
125,cg00117172,4.269097992597335e-06,1.5746457485790069
126,cg00119079,0.0011272612914220651,1.404680465335405
127,cg00121158,0.04146053160993861,1.7992693695341568
128,cg00121640,3.9176558462693873e-07,1.5291317299204326
129,cg00121904,9.272406852971824e-07,1.5002111509918017
130,cg00123035,0.003216133256023775,1.8654533090611503
131,cg00126034,0.014468756582517499,2.161488148073786
132,cg00126657,1.1768684731224687e-07,1.1578245608055566
133,cg00126698,2.4521406908916667e-10,1.126097551703435
134,cg00128197,2.6245313986921337e-12,3.3306868463646646
135,cg00128560,0.011821705930517975,1.0384868007271026
136,cg00128654,0.01685478425598457,2.321345920742013
137,cg00128766,0.0024650256993816286,1.716588075972579
138,cg00128877,1.4565456458763312e-12,1.781344243815416
139,cg00129774,0.0007230005989192563,1.5220143770781616
140,cg00131121,0.04655338104305774,1.33364255954413
141,cg00131557,0.032125804714169585,1.02464166178316
142,cg00132141,0.0011312313756604534,1.0556357725633423
143,cg00133909,0.018147302381190347,1.6429473551079132
144,cg00134539,0.00042871105434240506,1.0793669837345152
145,cg00134787,0.004553384568925678,1.0407085869008006
146,cg00135056,0.03019793462766464,1.157445437314356
147,cg00135393,4.481065884753355e-14,1.1564554224275279
148,cg00136105,0.01606740761032808,2.1917056534795067
149,cg00136405,3.840413419040345e-06,1.1253509922969969
150,cg00136477,0.003805599104047819,1.0374595128133368
151,cg00136736,0.05325506518673512,1.6600707819074878
152,cg00138126,0.009571841196685313,1.1387055664768349
153,cg00141162,5.193654801444914e-08,1.1500856998296933
154,cg00141550,5.416573970312589e-10,1.0989538334971054
155,cg00141845,5.732295033159893e-06,1.185836605275388
156,cg00143376,1.5009254870816984e-10,1.103115248545643
157,cg00143998,0.02176518573726501,1.483443223280045
158,cg00145118,0.001427583935160637,1.2932248872932453
159,cg00145348,8.247197906857689e-11,3.295341325793249
160,cg00146096,0.00042435877791338036,2.1778884854074496
161,cg00149659,0.03141451746474579,2.187232439565853
162,cg00149976,0.0002419990613833823,1.650782426083606
163,cg00151234,2.4480130322146536e-11,3.667003937728015
164,cg00151607,0.009027800014605302,2.3423114389335393
165,cg00152644,0.008066626007893594,1.0356159503724978
166,cg00155167,0.029999163979481228,2.1361319139057477
167,cg00155485,0.00603059114427294,1.7414491343570901
168,cg00155609,0.0003349404577481901,1.3718897032906394
169,cg00156216,0.018455786181663495,1.9735053532758613
170,cg00156744,0.026511688165480753,2.054825548260661
171,cg00158308,4.605099691627836e-06,1.4432692948072492
172,cg00160914,0.0017041762175321882,1.4194137054622165
173,cg00162401,0.030730003083985023,1.9612397317531425
174,cg00162643,0.02446595498343221,2.427543363771285
175,cg00164041,2.966659173428542e-07,1.8608026856323754
176,cg00164898,2.8348450154095416e-06,1.6294640633603379
177,cg00165981,0.014323661227588476,1.5130922810933336
178,cg00167504,0.03355921471533886,1.5605299538490707
179,cg00168082,9.560190219929418e-05,1.810425566953648
180,cg00168785,0.019862806976981104,1.786163692648526
181,cg00168942,0.013773799100342024,1.0345986668123497
182,cg00169548,0.002774499144861253,1.2442767578352956
183,cg00171126,0.016974335554679504,2.6849921372053736
184,cg00171161,0.0007299830606784646,1.4135776912914053
185,cg00174500,2.33007394416683e-10,1.4564376015768765
186,cg00174901,3.4286201313883136e-05,1.4156166568888569
187,cg00176210,0.005139182309607098,1.0874937260507933
188,cg00176879,0.0059377779672043236,1.0154050265815084
189,cg00177013,0.0003731909321023343,1.5158441795321578
190,cg00177698,0.0120687650065666,1.4635332102447056
191,cg00177923,0.015787843098851336,1.982587956263236
192,cg00178790,0.007127352393355694,1.3283331765928015
193,cg00179446,1.5874734587235145e-10,2.831938895241578
194,cg00180012,0.01982575163616155,1.6713116414729574
195,cg00180631,0.0039014701051810915,1.1058740813950725
196,cg00182461,0.0030806741517597986,1.673946675261296
197,cg00183782,0.007309370878154316,1.0366060472067546
198,cg00183916,7.66592801763889e-05,1.9289570993941687
199,cg00184884,0.03253815085485417,2.070444434999257
200,cg00184893,0.003292632336625406,1.8941103406261273
201,cg00185103,0.001105777714104124,1.0477929707393856
202,cg00185839,0.02629513345336723,1.3752795043076727
203,cg00186141,0.002566358959922915,1.7733018524982114
204,cg00186701,0.005484815369661202,1.1762158802286502
205,cg00186954,0.0004752315829175533,1.1598186812593405
206,cg00187380,1.5562737815193446e-08,1.3541127359631318
207,cg00187686,0.00029308665682379074,1.0632301363559158
208,cg00188348,6.338919414193195e-15,1.1018471651947253
209,cg00191052,0.0030518710591685683,1.1171826955087378
210,cg00194146,3.9084266752633465e-05,1.4560744746193628
211,cg00195561,0.019038195137701212,1.0445036803349264
212,cg00197381,0.013538380260055409,1.3560348671666858
213,cg00197641,0.02730146309936022,1.3204752538833016
214,cg00199549,0.022876602870903352,1.0267576143710881
215,cg00200063,0.02047429855995496,1.83536822312682
216,cg00201234,1.9045579145917154e-33,1.7627211100192879
217,cg00202702,0.05325809617746979,2.1978005024039593
218,cg00202711,9.886635326991207e-05,1.463659815458241
219,cg00204262,3.3631611684465344e-05,1.054720492348822
220,cg00206052,0.01804167433571214,1.668135900664411
221,cg00207534,0.00637265849350615,1.9818472071181006
222,cg00208830,0.0011983104814691985,1.0403709159869676
223,cg00208967,6.539654962585597e-11,1.407190755237489
