,Reporter Identifier,R,p
0,cg00000292,-0.04178437915758985,0.388527655112225
1,cg00002426,0.014361420490608939,0.7670332438846835
2,cg00003994,0.1009679281056873,0.0367914654460168
3,cg00005847,0.3695104844132248,2.709973347904055e-15
4,cg00006414,-0.0473044639357113,0.3289024566744231
5,cg00007981,0.17832064836063316,0.00020882088130191526
6,cg00008493,-0.019088159212057216,0.6937435387637388
7,cg00008713,0.06012212635835875,0.21449427347531874
8,cg00009407,-0.08543542847956809,0.07746933293477687
9,cg00010193,-0.05551034505909073,0.25182321685774134
10,cg00011459,-0.03188727197262777,0.5105849869772766
11,cg00012199,0.0250498448422778,0.6052952584086028
12,cg00012386,0.20307814059653984,2.3037169678277207e-05
13,cg00012792,-0.011694164377955773,0.809375715178993
14,cg00013618,0.12119579340494556,0.012099082691189023
15,cg00014085,0.03834911717755034,0.42874349957522545
16,cg00014837,-0.021803725214012658,0.6528450846948362
17,cg00015770,0.4520367007813486,6.070606746017994e-23
18,cg00016968,0.17624618814354187,0.00024804548423673525
19,cg00019495,-0.10210019648253321,0.03472000173100232
20,cg00020533,-0.020787521653433273,0.6680365811508635
21,cg00021527,0.012011525900209217,0.8043057186798062
22,cg00022606,0.05495021901328766,0.2566471032259713
23,cg00022866,0.19548419719117116,4.666505848972266e-05
24,cg00024396,0.13094427084323482,0.006672476685229518
25,cg00024812,0.015336544803955937,0.7517174221541614
26,cg00025138,-0.06934987328417833,0.15207219301269928
27,cg00025991,-0.14654634324714796,0.00237102942761137
28,cg00027083,0.16222853040416726,0.0007551362351462724
29,cg00027674,0.08231136782871545,0.08898471515765315
30,cg00029826,0.012132831101253712,0.8023699644451628
31,cg00029931,0.05647600263520751,0.24365552112263048
32,cg00030047,0.1773806922941742,0.00022581373879118215
33,cg00031162,0.13657429458184045,0.004647793335935462
34,cg00032227,0.08755422553410179,0.07037104026743284
35,cg00032666,0.06461826752023747,0.18209953163197395
36,cg00033516,0.10876309916726125,0.024435799654237294
37,cg00033773,-0.0398012587921387,0.41145703509561676
38,cg00034039,0.1229522232648555,0.01090017724865318
39,cg00035347,0.16974224504428065,0.00042027711840258183
40,cg00035623,0.09586028206705097,0.0474860210027115
41,cg00037763,0.20047816106325972,2.9423210979181756e-05
42,cg00037940,0.15732040524706714,0.001092677308029795
43,cg00040861,0.1339223740350336,0.005519902962293201
44,cg00040873,0.2674620011822063,1.9115544097005668e-08
45,cg00041575,-0.04615721582725983,0.34078107540511005
46,cg00042156,-0.1320489604972665,0.006221925978765965
47,cg00043004,0.4822907827243427,2.567424322374797e-26
48,cg00043080,0.10381499895551781,0.03177216368395791
49,cg00044245,0.0520671277798537,0.2824857498439049
50,cg00044729,0.23469073980111113,9.114064057849657e-07
51,cg00047050,0.22575069530130146,2.3847084769370857e-06
52,cg00047469,0.03669723491226452,0.44891021252696833
53,cg00049986,-0.013437112551641307,0.7816352284958349
54,cg00050312,0.10686453093738948,0.0270566878763849
55,cg00051623,0.03774136658647252,0.43610135546781104
56,cg00051979,0.02261740935914834,0.6407833042863554
57,cg00053292,-0.010717405613551691,0.8250291050772571
58,cg00053647,0.1970043501865083,4.060204829339583e-05
59,cg00054706,0.06801901619674726,0.16011041842843915
60,cg00055233,0.46719045050853747,1.3657890726652694e-24
61,cg00056767,0.24599615191188262,2.553540727037534e-07
62,cg00057593,0.2611358367843075,4.204803286414304e-08
63,cg00058938,0.11772732673319884,0.014813001495566289
64,cg00059225,0.6857491983223358,9.472229937717796e-61
65,cg00059424,0.06874262338265953,0.1557010979672469
66,cg00059740,0.019411000520796275,0.6888315684205127
67,cg00059930,0.41728510042830314,1.8382437065204382e-19
68,cg00060762,0.07083348025562117,0.143476420703423
69,cg00060882,0.02115514099282826,0.662524871676481
70,cg00061059,0.05268344853738884,0.2768196360434837
71,cg00061629,-0.15575457760895645,0.0012266834972897334
72,cg00062776,0.018330237795963676,0.7053253633305607
73,cg00063144,0.10136253955043231,0.03605792733867949
74,cg00065385,-0.01150346776873801,0.8124260351612346
75,cg00065408,0.006243318130205929,0.8975267547043577
76,cg00066153,0.0813289708112728,0.09287739942602281
77,cg00066816,0.17704325649263655,0.00023222333861974603
78,cg00067471,-0.12916155130156748,0.00746142981468518
79,cg00069261,0.1280325754105415,0.00800320300538865
80,cg00071250,0.2573925722221514,6.639383289257696e-08
81,cg00071998,0.09647916926991697,0.04606525030819847
82,cg00072216,-0.023264517461069043,0.6312576233411141
83,cg00075967,0.5442686008741183,2.247815667050392e-34
84,cg00076645,0.08576940178427303,0.07631335843638558
85,cg00077457,0.0045423314758031574,0.9253489432904419
86,cg00077877,0.19257904193174993,6.0705298363811104e-05
87,cg00078194,0.14355631116690523,0.0029140425882415366
88,cg00078867,0.16899826507493873,0.0004458759401176212
89,cg00079056,0.003942288455433785,0.9351870746320214
90,cg00079563,0.2916855839959486,7.696975761221572e-10
91,cg00080012,0.016133180568040795,0.7392766519315728
92,cg00081935,0.13405139631878885,0.005474283961107869
93,cg00081975,0.2847159239986742,2.002564828610011e-09
94,cg00083720,0.06533516507695537,0.1772877225171286
95,cg00083937,0.16345738459996925,0.0006872859483159522
96,cg00084687,-0.044737314154128224,0.3558569463833723
97,cg00089071,0.09331716412899022,0.05371523639662693
98,cg00090147,0.5301398550263061,2.1730783007623355e-32
99,cg00091693,0.022832494393960852,0.6376105217936547
100,cg00093177,0.06724756887799538,0.16491416512974452
101,cg00094319,0.1297642237260517,0.007185847658815993
102,cg00094851,0.08034654749888258,0.09690522653025425
103,cg00095526,0.4653159720035141,2.2065013297046347e-24
104,cg00095674,0.1841211766393773,0.00012773318511115898
105,cg00096922,0.14157484235116294,0.0033338115885101958
106,cg00097536,0.31732749225022716,1.8149000075973862e-11
107,cg00098162,0.0811930865241435,0.09342639590924456
108,cg00098239,0.04243518369999104,0.3811751989677452
109,cg00099550,0.12778045016772285,0.008128884863509898
110,cg00101227,0.25932900772578016,5.246744260359176e-08
111,cg00103783,0.01655367625207012,0.7327370045658119
112,cg00105253,0.3418813616967648,3.52897956244463e-13
113,cg00105470,0.15366598145398516,0.00142900046197304
114,cg00107187,0.45597463046280845,2.306197897552933e-23
115,cg00107488,0.28972439356287727,1.0099998783305832e-09
116,cg00107632,-0.05028955914219987,0.29926411567785843
117,cg00108454,0.48917049860156286,3.929125393503342e-27
118,cg00109274,0.05985035602499622,0.216577292723749
119,cg00112517,0.20720900279131785,1.5516613630976156e-05
120,cg00113020,0.08576003659065529,0.07634558186068038
121,cg00113951,0.051769259542472815,0.28525207653470586
122,cg00115714,-0.006728382446161656,0.8896142422346743
123,cg00116234,0.047471623463491014,0.3271942799213218
124,cg00116838,0.17556744464012278,0.0002623074009857425
125,cg00117172,0.16675290516729735,0.0005321956659289418
126,cg00119079,0.3172465401845977,1.8375651319514004e-11
127,cg00121158,-0.022024358315177794,0.6495653765223101
128,cg00121640,0.13661011171806153,0.004636917658376794
129,cg00121904,0.05757206547996277,0.2346116999906586
130,cg00123035,-0.00806806284182554,0.8678201768269758
131,cg00126034,0.20170148676374106,2.6233860239203656e-05
132,cg00126657,0.03466201165072451,0.47447862419648523
133,cg00126698,0.04793105167620643,0.3225290805854481
134,cg00128197,0.06346429475571073,0.1900466471039078
135,cg00128560,0.035264114144268,0.4668324906196453
136,cg00128654,-0.005909231290066668,0.9029824375273883
137,cg00128766,0.022057252830453945,0.6490769771900874
138,cg00128877,0.6329361875423356,2.7321991452016588e-49
139,cg00129774,0.16883627976282273,0.000451638439225346
140,cg00131121,0.050421336304636216,0.29799800015315986
141,cg00131557,0.012686251902847202,0.7935541256719844
142,cg00132141,0.05425963511093049,0.2626820172931013
143,cg00133909,0.10263424212599294,0.03377794972233763
144,cg00134539,0.1326948054322097,0.005971343431240296
145,cg00134787,0.12900288420749853,0.007535536246091081
146,cg00135056,0.06414245887422435,0.18534602256367347
147,cg00135393,0.4330944518458972,5.3755685598829725e-21
148,cg00136105,-0.059912687550852634,0.2160982672703501
149,cg00136405,0.37556276558904034,8.745074659390929e-16
150,cg00136477,0.19203234720500617,6.37582124394017e-05
151,cg00136736,0.09632857582762772,0.04640763946137409
152,cg00138126,0.21518641261693486,7.071749832925888e-06
153,cg00141162,0.40908463186468336,1.0684155097087147e-18
154,cg00141550,0.025826992326869424,0.5941448493892042
155,cg00141845,-0.09365107762446521,0.052860444483290074
156,cg00143376,0.23341836736344282,1.0475942421593824e-06
157,cg00143998,0.16584398894839053,0.0005713600068893037
158,cg00145118,-0.08728976954877271,0.07122686326267369
159,cg00145348,0.06281275826534956,0.19464456400170888
160,cg00146096,-0.06940417378065757,0.15175084683224624
161,cg00149659,0.0021851800135731913,0.9640473682003201
162,cg00149976,-0.06490722662166636,0.1801485564602446
163,cg00151234,0.06963986516509088,0.15036201325327225
164,cg00151607,0.09088775445677509,0.06028663177739143
165,cg00152644,0.02265571139879925,0.6402178185827054
166,cg00155167,-0.055869735652021545,0.2487614800574716
167,cg00155485,-0.034230854006054745,0.47999576055987564
168,cg00155609,-0.029511785904514705,0.5425962407676158
169,cg00156216,-0.07673998745295954,0.11289712029009527
170,cg00156744,0.04192408491652641,0.3869421195358465
171,cg00158308,0.07394152593210708,0.12667849952386137
172,cg00160914,0.23982788483270695,5.15253190759499e-07
173,cg00162401,0.00293871588161743,0.9516626746400212
174,cg00162643,0.011896884776598735,0.80613622928618
175,cg00164041,0.11370452489309005,0.018617921747469755
176,cg00164898,0.4924857095172539,1.5661188426332122e-27
177,cg00165981,0.015399229131537547,0.7507361218875377
178,cg00167504,0.12034670076790645,0.012719342233263672
179,cg00168082,0.05930434879721446,0.22080600160606567
180,cg00168785,-0.08424175863748998,0.08171763698955263
181,cg00168942,0.03683879618467469,0.4471612465513103
182,cg00169548,0.35676009503639394,2.7195729178938328e-14
