,Reporter Identifier,p,fold_change
0,cg00000292,0.0005948660968284365,1.0978077134428987
1,cg00002426,2.9805246889604084e-05,1.492634860669821
2,cg00003994,0.06079534709018221,1.7880745283250403
3,cg00005847,9.757902089313222e-12,1.4109608965280154
4,cg00006414,0.010252185010253871,1.454074014570094
5,cg00007981,0.001206822979577213,2.458233951036719
6,cg00008493,0.26502036169421855,1.0274159152110838
7,cg00008713,0.0014611209654176048,1.4035644800832818
8,cg00009407,0.0004512358058529216,2.263100189954234
9,cg00010193,0.0022978668439019626,1.0555387796745406
10,cg00011459,0.003318732137785657,1.0407002182043354
11,cg00012199,0.0011322063485324895,1.7390864956486936
12,cg00012386,4.071661901055355e-05,1.7138217989049562
13,cg00012792,0.04506263141822708,1.4041229171981622
14,cg00013618,0.002128917647049406,1.0278810889413552
15,cg00014085,0.03339038734403964,1.610519682821299
16,cg00014837,0.0027447928139162285,1.0350004928227494
17,cg00015770,1.1261030398908757e-14,1.4380966998548101
18,cg00016968,5.781047965218779e-08,1.0987890467362789
19,cg00019495,2.0623414259955612e-05,1.4762774096305311
20,cg00020533,0.0026684155942208066,1.0397049122826596
21,cg00021527,0.023377546987479368,1.7351625415418537
22,cg00022606,6.795228918419307e-05,1.5377135234019803
23,cg00022866,6.035897546843245e-07,1.1237054361866954
24,cg00024396,0.0006878114013520818,1.543256512832855
25,cg00024812,0.0005610177603247206,1.392249440774426
26,cg00025138,0.0022888936046736065,1.5131960342093782
27,cg00025991,3.36758636531491e-05,1.0634695041483126
28,cg00027083,0.04824182131161966,5.268366304845542
29,cg00027674,0.0069998848426618175,1.268308216161981
30,cg00029826,0.02267393432601477,2.083813429714757
31,cg00029931,1.9956068967611222e-06,5.2958665636079285
32,cg00030047,0.000684752521438689,1.284544695949613
33,cg00031162,5.122571623815624e-07,1.3735457276664265
34,cg00032227,0.009442395821711639,1.618076739856796
35,cg00032666,0.0003879108103937419,1.0948250959570742
36,cg00033516,0.0024097473365566413,1.5522996993222034
37,cg00033773,0.05416444595756621,1.0222793651391726
38,cg00034039,0.001490493206116948,1.1959573144966367
39,cg00035347,0.00041756026033798,1.2191848917759567
40,cg00035623,0.0005916676620826339,1.6836444287082784
41,cg00037763,4.050254134202433e-07,1.056728888502157
42,cg00037940,0.003287757204897775,1.0173025125754902
43,cg00040861,0.001177028197142556,1.622438427492862
44,cg00040873,5.08581079182341e-05,1.246064046944621
45,cg00041575,1.9701095552655947e-07,1.0598490523403317
46,cg00042156,0.0003524842211338031,1.1198938810604684
47,cg00043004,3.4766336025670204e-16,1.7914449841040423
48,cg00043080,0.021039066179031958,1.0198582509937193
49,cg00044245,0.004116193868161497,1.5280035232041587
50,cg00044729,0.0004980130857641721,1.0716682703858755
51,cg00047050,1.1130860515901825e-08,1.4118603372421352
52,cg00047469,0.001151037431246419,1.3357043494975993
53,cg00049986,0.013931467648334694,1.6571734203551765
54,cg00050312,0.01269446344029061,1.6464828899024757
55,cg00051623,0.03591405584338427,1.0449941419893907
56,cg00051979,0.15206353046378032,1.5682393438204134
57,cg00053292,0.010085019411023152,1.529770846595433
