,Reporter Identifier,R,p
0,cg00000292,-0.03930343633092503,0.41624376741720065
1,cg00002426,0.01573364973562881,0.7449310685595703
2,cg00003994,0.1029687667002073,0.03278818601439741
3,cg00005847,0.37148599224472917,1.6154100116832335e-15
4,cg00006414,-0.049272731059690836,0.30801964776504454
5,cg00007981,0.1768279678434323,0.00022853266409461338
6,cg00008493,-0.018117042772865816,0.707942963948962
7,cg00008713,0.05319267949945393,0.27107277729717005
8,cg00009407,-0.0904106979150738,0.06104399757838996
9,cg00010193,-0.04438663601184901,0.3585171811835402
10,cg00011459,-0.03292783737158047,0.4958694062327445
11,cg00012199,0.02385905845709142,0.6217426655493054
12,cg00012386,0.20550106205508573,1.747872029786106e-05
13,cg00012792,-0.018037762828681067,0.7091628991795668
14,cg00013618,0.12592729269285025,0.008946375010615624
15,cg00014085,0.03411237318355539,0.4804894786224647
16,cg00014837,-0.01691752424082448,0.7264789488395094
17,cg00015770,0.45026742627112776,7.428745444836348e-23
18,cg00016968,0.1840963350125066,0.0001234087146729931
19,cg00019495,-0.103251120928263,0.03231015003370117
20,cg00020533,-0.018669282456900416,0.6994661345265013
21,cg00021527,0.013314467225552911,0.7830833090503121
22,cg00022606,0.052852610027387545,0.2741527152329531
23,cg00022866,0.19705585890390065,3.875862974864208e-05
24,cg00024396,0.12904529186751695,0.007376253495433693
25,cg00024812,0.01464468232158177,0.7620340020538178
26,cg00025138,-0.07144487171414621,0.13911611827147857
27,cg00025991,-0.1442975449508324,0.002706728263925491
28,cg00027083,0.16050966981678622,0.000836596387808168
29,cg00027674,0.08457202822683102,0.07981550821941703
30,cg00029826,0.010085011037481658,0.8348200010922706
31,cg00029931,0.05879332367893685,0.2237305044642245
32,cg00030047,0.1752636215596277,0.0002601337677055169
33,cg00031162,0.13911176251291527,0.0038481063269399478
34,cg00032227,0.08971950384658814,0.06305579765659994
35,cg00032666,0.06614806990671457,0.1709421585112372
36,cg00033516,0.10360436248339257,0.03172048937913927
37,cg00033773,-0.039610650382959245,0.4126069614563858
38,cg00034039,0.13159303788999285,0.006281346179530972
39,cg00035347,0.1711722173550845,0.0003631358029293018
40,cg00035623,0.09538284754922761,0.0480809673116794
41,cg00037763,0.20374116947927182,2.069057380437964e-05
42,cg00037940,0.16016229434792403,0.0008589340965582312
43,cg00040861,0.13204212093538303,0.0061042267174009
44,cg00040873,0.2658727009474699,2.164902919298449e-08
45,cg00041575,-0.051482757158506136,0.28679986641884664
46,cg00042156,-0.12579015076771125,0.009021803647100746
47,cg00043004,0.48560543305929715,7.965910677564543e-27
48,cg00043080,0.10749527330411576,0.025811026093175954
49,cg00044245,0.047086549964222915,0.3300040739592316
50,cg00044729,0.238557101231628,5.590111226554585e-07
51,cg00047050,0.22740296174889804,1.8945070952595189e-06
52,cg00047469,0.033383733764269195,0.48991927390299544
53,cg00049986,-0.015272328232236848,0.7521616794354843
54,cg00050312,0.10630340679522776,0.027511217679104347
55,cg00051623,0.03937510261346174,0.41539369885228566
56,cg00051979,0.022395233270558586,0.643290019384925
57,cg00053292,-0.011127526299657301,0.8180290228625485
58,cg00053647,0.19917462121687535,3.183831605703338e-05
59,cg00054706,0.06781963079579699,0.1603602817892788
60,cg00055233,0.46873072019994083,7.153158696900334e-25
61,cg00056767,0.24612179173224882,2.3591525543381875e-07
62,cg00057593,0.26502013765922683,2.4099474457847244e-08
63,cg00058938,0.12064239989885348,0.012295004155508008
64,cg00059225,0.6883298366818468,1.184932133770307e-61
65,cg00059424,0.06820736694327156,0.157977736225829
66,cg00059740,0.015847272940851576,0.7431535778649837
67,cg00059930,0.41944125455153997,9.438296876198333e-20
68,cg00060762,0.0682061327957459,0.1579852771463415
69,cg00060882,0.016094748262862175,0.7392868708850596
70,cg00061059,0.050794088472601445,0.2933040006802678
71,cg00061629,-0.15822052069492445,0.000994279800566879
72,cg00062776,0.01931519427428613,0.6895986642253328
73,cg00063144,0.10311041168931803,0.032547626849020087
74,cg00065385,-0.009367229726148622,0.8464250100878915
75,cg00065408,0.0058739437824849704,0.9033336806431025
76,cg00066153,0.08401405728098657,0.08183110278464517
77,cg00066816,0.18266381628351192,0.00013960642288044953
78,cg00067471,-0.12963876787587839,0.007106980522674356
79,cg00069261,0.1256164390699677,0.00911815784130057
80,cg00071250,0.2618635780840911,3.572774132999914e-08
81,cg00071998,0.09683910617941748,0.04475261971921282
82,cg00072216,-0.0249320336516099,0.6061499622173281
83,cg00075967,0.5465557533846023,7.350864148128896e-35
84,cg00076645,0.08126775071420654,0.09235894655530726
85,cg00077457,0.007853047577104479,0.871012331999227
86,cg00077877,0.1951760305462183,4.606807469879659e-05
87,cg00078194,0.14179162655262026,0.0032129270517615386
88,cg00078867,0.17491914650920906,0.0002676203111895406
89,cg00079056,-0.03459973432204716,0.4742376526526709
90,cg00079563,0.29119131071980625,7.528251295891001e-10
91,cg00080012,0.014754049882815017,0.7603109161402773
92,cg00081935,0.13394334424192328,0.005403013394569082
93,cg00081975,0.2824875596207042,2.4824732764551255e-09
94,cg00083720,0.05981473491050528,0.21577434799371525
95,cg00083937,0.16415167887854507,0.0006326383384549122
96,cg00084687,-0.050535572120278635,0.2957708257809516
97,cg00089071,0.09338819157628862,0.0529740271745708
98,cg00090147,0.5265637025110891,4.81822320671757e-32
99,cg00091693,0.01810796215423487,0.7080826558966318
100,cg00093177,0.07334889299524033,0.12885974414085574
101,cg00094319,0.13690381332873167,0.0044545927528910146
102,cg00094851,0.07151831068908869,0.1387092447431719
103,cg00095526,0.4663752837447516,1.3140649532822553e-24
104,cg00095674,0.18664335669323684,9.888263227528351e-05
105,cg00096922,0.1399096861140127,0.0036480220764922235
106,cg00097536,0.3126427668011826,3.330147729504117e-11
107,cg00098162,0.08472699389834736,0.0792629072460215
108,cg00098239,0.04138755022886597,0.39194292664256436
109,cg00099550,0.12309483954437266,0.010623608563491602
110,cg00101227,0.26420940382242764,2.6677199197281972e-08
111,cg00103783,0.01479731353125295,0.7596296238259208
112,cg00105253,0.34730174438282607,1.2363141268020078e-13
113,cg00105470,0.15678944782114418,0.0011063378759518163
114,cg00107187,0.45390924143179284,3.039772756976708e-23
115,cg00107488,0.2908981859679232,7.842153132846068e-10
116,cg00107632,-0.054625217898933126,0.25835849094683544
117,cg00108454,0.4849694829169237,9.480486933522996e-27
118,cg00109274,0.061726718385655244,0.2014310598282842
119,cg00112517,0.21101147271466875,1.021022035546751e-05
120,cg00113020,0.08947532751852566,0.06377942727011013
121,cg00113951,0.04799155656190482,0.3207833280841522
122,cg00115714,-0.005355970153324247,0.9118215242246746
123,cg00116234,0.046002426999701605,0.3412726087196854
124,cg00116838,0.173126872871453,0.0003099276717440707
125,cg00117172,0.16153424160997001,0.0007738013772296492
126,cg00119079,0.31824710251414656,1.413038840782505e-11
127,cg00121158,-0.026834586246100762,0.5789398055928874
128,cg00121640,0.1356872044958451,0.004824479351159807
129,cg00121904,0.059900686681182036,0.2151142193921473
130,cg00123035,-0.011081884383927917,0.8187624622748256
131,cg00126034,0.19673629252350844,3.991844080218273e-05
132,cg00126657,0.03450592356589356,0.47543757650853147
133,cg00126698,0.0245627190145128,0.6114972522909846
134,cg00128197,0.0638244469026047,0.18650585672492756
135,cg00128560,0.03590838729062924,0.45767287427175124
136,cg00128654,-0.007235895452507836,0.881070808407963
137,cg00128766,0.018748140038831577,0.6982586880333043
138,cg00128877,0.6360063794493204,4.027952295670487e-50
139,cg00129774,0.16830672026303503,0.00045667977676149566
140,cg00131121,0.05041418234037254,0.29693391803743874
141,cg00131557,0.015788099731817603,0.7440790979832506
142,cg00132141,0.054620611596899786,0.25839870197730236
143,cg00133909,0.10812646568532211,0.02494787755020825
144,cg00134539,0.1361458160547581,0.004681913293317989
145,cg00134787,0.12984452996037946,0.007015695621625733
146,cg00135056,0.0626653382046304,0.1946488970846594
147,cg00135393,0.432506025236924,4.989289512591897e-21
148,cg00136105,-0.06270147470897619,0.19439116527349518
149,cg00136405,0.3760856605091688,6.786127863497393e-16
150,cg00136477,0.1955245168788896,4.462148038226519e-05
151,cg00136736,0.0962321752839204,0.0461154775699753
152,cg00138126,0.22008504242122476,4.083131225878489e-06
153,cg00141162,0.36126361144774594,1.0571249057380406e-14
154,cg00141550,0.023367874573052283,0.6289380884823355
155,cg00141845,-0.08983358594977359,0.06272003450663671
156,cg00143376,0.2326761296506789,1.0720067501871811e-06
157,cg00143998,0.15870045670186847,0.0009591090407651725
158,cg00145118,-0.08971536182992954,0.06306801611949911
159,cg00145348,0.05751891576626176,0.23394762635111135
160,cg00146096,-0.0742833898387095,0.12404498030152941
161,cg00149659,0.0017174525369427116,0.9716729030491101
162,cg00149976,-0.06954665187737794,0.14995347899029776
163,cg00151234,0.07176008878606008,0.13737617492033136
164,cg00151607,0.08787643019650496,0.06868848340692393
165,cg00152644,0.026325307411883797,0.5861672607409656
166,cg00155167,-0.05833482130803871,0.22736912818012903
