,Unnamed: 0_x,Reporter Identifier,p,fold_change,abs_change,Rejection on 0.05,qval,Unnamed: 0_y,UCSC_RefGene_Name,Name,cluster
10,196,cg00186701,3.0487661336567154e-11,2.1157698975889043,0.2213866,True,1.6603229065739156e-09,188.0,TSPY like 5,cg00186701,0
25,533,cg00540544,3.290451504078942e-12,2.303394738899716,0.02650491,True,2.2738480406907925e-10,514.0,cysteine and glycine rich protein 1,cg00540544,1
55,1190,cg01234133,2.6562412047043544e-13,2.0304817382391,0.071709055,True,2.466762665435444e-11,1154.0,collagen type I alpha 1 chain,cg01234133,1
57,1223,cg01274660,1.7427123740540444e-18,2.6923715153724044,0.2082574,True,7.817689560014982e-16,1190.0,thyroid hormone receptor interactor 6,cg01274660,1
64,1379,cg01431114,2.371459908699095e-13,2.0434924669800574,0.04046345,True,2.28237925103778e-11,1345.0,phosphodiesterase 10A,cg01431114,1
66,1460,cg01511567,1.0607654417925272e-10,2.3506789489499145,0.080033745,True,4.823931090708388e-09,1424.0,structure specific recognition protein 1,cg01511567,0
72,1524,cg01580888,1.785448720731498e-13,2.497972417426071,0.012062712,True,1.7765214771278403e-11,1484.0,rhophilin Rho GTPase binding protein 2,cg01580888,1
76,1597,cg01655355,3.279766037646133e-11,2.2771012509053143,0.29465394999999994,True,1.7643408072841504e-09,1554.0,solute carrier family 5 member 5,cg01655355,1
78,1622,cg01671575,3.174488108180694e-12,2.3730322724593664,0.2781508,True,2.1994548889847757e-10,1577.0,piggyBac transposable element derived 5,cg01671575,0
91,1946,cg02008416,1.0292718431396616e-13,2.096640114345877,0.3035218,True,1.1303625673185653e-11,1895.0,transmembrane protein 61,cg02008416,0
109,2264,cg02332073,4.662033133816946e-27,2.071186656835422,0.3057344000000001,True,1.762714727896187e-23,2204.0,testis specific 13,cg02332073,1
116,2508,cg02624129,3.360064268288108e-06,2.14334500807094,0.13872244999999994,True,3.699285398867777e-05,2437.0,sorting nexin 19,cg02624129,1
119,2605,cg02724472,7.220707773130977e-19,2.1763201964817367,0.20805739999999995,True,3.4981489544646427e-16,2532.0,leucine rich repeat containing 17,cg02724472,1
121,2609,cg02727423,2.2585643292397513e-23,2.1671230944983937,0.21270655,True,3.736088881374281e-20,2536.0,EMAP like 1,cg02727423,0
149,3215,cg03359508,7.870196616920662e-10,2.1278128460479704,0.09356738000000002,True,2.77364172916164e-08,3126.0,annexin A11,cg03359508,0
151,3312,cg03451296,1.6997934568530946e-12,2.5302976224320046,0.041717520000000015,True,1.2531597053629764e-10,3217.0,cysteine rich protein 2,cg03451296,1
154,3398,cg03538436,7.592758131518377e-09,2.4859848100339343,0.17054135,True,1.9936262843938183e-07,3305.0,nitric oxide synthase 1,cg03538436,1
156,3432,cg03567830,3.0108646377234045e-11,2.2324469021131046,0.07136696999999999,True,1.646457734847631e-09,3337.0,neurotensin receptor 1,cg03567830,1
160,3514,cg03663715,5.4875712303833835e-17,2.1586450047656425,0.041264325,True,1.5960389863138134e-14,3411.0,forkhead box D1,cg03663715,1
167,3597,cg03743584,7.348920218447327e-10,2.0942662799146605,0.10769354,True,2.6178179195376235e-08,3496.0,proline rich acidic protein 1,cg03743584,1
194,4191,cg04355435,9.496892165181329e-18,2.0242991579533456,0.25553145000000005,True,3.396678985619652e-15,4075.0,transmembrane protein 125,cg04355435,1
199,4268,cg04439215,6.950752406721534e-23,2.5475948687618937,0.31858285,True,9.509799066756734e-20,4150.0,potassium channel tetramerization domain containing 4,cg04439215,1
205,4375,cg04533291,1.4851656897068183e-12,2.1048726584075905,0.29240930000000004,True,1.1041539412772573e-10,4251.0,cytosolic iron-sulfur assembly component 1,cg04533291,0
229,4791,cg04969878,1.9692747678328707e-17,2.089246621660344,0.2470871000000001,True,6.515099410029074e-15,4647.0,transmembrane protein 19,cg04969878,0
230,4808,cg04987894,1.768773450850932e-09,2.1033994574276718,0.24094625,True,5.553277215144914e-08,4661.0,glutathione S-transferase mu 5,cg04987894,1
243,5058,cg05275752,7.510178316948925e-15,2.9660805083078183,0.19983085,True,1.1489704596224692e-12,4906.0,galactose mutarotase,cg05275752,1
247,5218,cg05443740,8.752558290424223e-11,2.4504037970628736,0.17568045000000002,True,4.101159018755455e-09,5060.0,potassium voltage-gated channel interacting protein 3,cg05443740,1
256,5381,cg05628549,8.657021115957188e-11,2.3575434959922967,0.16602179999999994,True,4.069722520000691e-09,5223.0,caveolae associated protein 3,cg05628549,1
257,5427,cg05675373,4.559425408470242e-20,2.581508681768419,0.07744444,True,2.8731979115709976e-17,5268.0,potassium voltage-gated channel subfamily C member 4,cg05675373,1
263,5552,cg05813234,0.0007414866061229315,2.005317416558209,0.3603791000000001,True,0.002938303040014318,5391.0,ribosomal protein S6 kinase A6,cg05813234,0
275,5716,cg05989054,6.473553609208594e-17,2.7392669390860287,0.30543545000000005,True,1.842317670698106e-14,5554.0,guanidinoacetate N-methyltransferase,cg05989054,0
276,5780,cg06071083,1.4930092346542348e-09,2.0540553763980918,0.02434421,True,4.789754595587107e-08,5612.0,solute carrier family 12 member 4,cg06071083,1
279,5846,cg06151165,2.892892559787098e-19,5.3692042036118695,0.249751555,True,1.6290678165933004e-16,5678.0,visual system homeobox 1,cg06151165,1
293,6123,cg06424894,7.281572681851043e-11,2.3782597841006576,0.13569676,True,3.5104077262395547e-09,5945.0,sorbitol dehydrogenase,cg06424894,0
303,6290,cg06580318,1.2787506763471873e-15,2.210916155534559,0.04422886999999999,True,2.417478153634358e-13,6106.0,SPC25 component of NDC80 kinetochore complex,cg06580318,1
308,6367,cg06650260,2.2357587110089408e-10,2.137239259324607,0.22430475,True,9.245910281917756e-09,6179.0,nuclear receptor subfamily 0 group B member 2,cg06650260,0
341,6806,cg07105440,2.641581543565258e-10,2.266688424143835,0.123306855,True,1.0690327020419218e-08,6605.0,cytokine inducible SH2 containing protein,cg07105440,1
348,6899,cg07215749,2.055902846125987e-23,2.7592756606685143,0.05006632,True,3.687437590812814e-20,,,,1
355,7036,cg07360076,2.3602567014588856e-18,3.308669850673972,0.226296015,True,1.0075631309276182e-15,6829.0,fibroblast growth factor receptor 3,cg07360076,1
368,7355,cg07703401,6.799542195330368e-14,2.1952992571209617,0.094536535,True,7.962985986009242e-12,7134.0,hemoglobin subunit theta 1,cg07703401,1
376,7528,cg07895149,2.367063678781249e-10,2.125828526231948,0.32425145000000005,True,9.683009951515195e-09,7303.0,calcium homeostasis modulator family member 2,cg07895149,1
384,7644,cg08009328,8.339284037763448e-09,2.3377690606779766,0.14858814999999995,True,2.1596460922454518e-07,7420.0,H2B clustered histone 7,cg08009328,1
395,7832,cg08216808,2.4429606067467575e-10,2.146603330752717,0.06001198000000001,True,9.947359750579451e-09,7609.0,actin related protein 2/3 complex subunit 2,cg08216808,0
400,7976,cg08370996,2.2526025924945603e-16,2.6717681236098314,0.06875667999999999,True,5.273572545597931e-14,7745.0,nuclear receptor subfamily 2 group F member 2,cg08370996,1
409,8143,cg08557686,3.969825613945435e-08,2.012858120228959,0.10888635,True,8.208544884710455e-07,7915.0,reticulon 4 receptor,cg08557686,1
424,8481,cg08900043,2.003509912465576e-09,2.063688204491496,0.023371319999999998,True,6.201976240143438e-08,8246.0,homeobox C10,cg08900043,0
428,8517,cg08948050,2.129415882878885e-14,2.4050419939558942,0.30485435000000005,True,2.8039427946345995e-12,8285.0,solute carrier family 35 member A4,cg08948050,0
459,8998,cg09462576,1.9529935009289226e-11,2.492216031392187,0.17116269999999995,True,1.1261411544463135e-09,8763.0,mitochondrial ribosomal protein L55,cg09462576,0
466,9130,cg09595479,9.688625907688328e-17,2.239501494186147,0.19365835,True,2.538899622760267e-14,8893.0,peripherin,cg09595479,1
469,9196,cg09660171,0.0006284450969756539,2.102972540733121,0.033286680000000006,True,0.0025884268225648418,8955.0,LIM homeobox transcription factor 1 beta,cg09660171,1
479,9455,cg09949775,6.662319461011853e-17,2.135910919896065,0.27381694999999995,True,1.8561222018379023e-14,9209.0,cartilage oligomeric matrix protein,cg09949775,1
495,9728,cg10235817,3.005021362661226e-10,2.355323673157016,0.049241125,True,1.1870731403814131e-08,9469.0,adrenoceptor alpha 2C,cg10235817,1
496,9775,cg10281770,0.00022672818894705165,2.0216630984858868,0.11221595,True,0.0011613731327388458,9515.0,WD repeat domain 45B,cg10281770,0
509,9996,cg10519140,6.5500216471876595e-21,2.5978931475921754,0.4012229,True,4.953126369603308e-18,9730.0,solute carrier family 29 member 1 (Augustine blood group),cg10519140,1
510,10001,cg10523019,1.4514064486637178e-22,2.751776499710588,0.058319425000000015,True,1.7461079307628463e-19,9735.0,rhomboid domain containing 1,cg10523019,1
524,10292,cg10848367,3.718015453040595e-19,2.6339075196780626,0.3637110000000001,True,2.0500982290755297e-16,10022.0,secretoglobin family 1D member 2,cg10848367,0
537,10525,cg11063988,1.1141474179612782e-16,3.036644521046536,0.017890609499999998,True,2.835398049152034e-14,10250.0,SIX homeobox 5,cg11063988,1
575,11239,cg11787828,1.091383944564154e-08,2.078717794986284,0.12207585,True,2.709724095757923e-07,10941.0,NADH:ubiquinone oxidoreductase complex assembly factor 4,cg11787828,1
585,11394,cg11932564,1.552344012653185e-27,5.252685838771544,0.23351196,True,6.847648163815307e-24,11088.0,TNF receptor superfamily member 13C,cg11932564,1
598,11771,cg12356261,3.198949686999127e-08,2.4391114978481565,0.096386385,True,6.778751110152593e-07,11445.0,nestin,cg12356261,1
599,11782,cg12373771,4.574140071440202e-16,2.0442571735837887,0.054264965,True,1.0088647105900653e-13,11456.0,transmembrane protein 121B,cg12373771,1
656,12834,cg13460409,6.128519180132458e-22,3.4125701399765327,0.26040305,True,6.48814068562263e-19,12492.0,ripply transcriptional repressor 3,cg13460409,1
689,13567,cg14175438,2.562699969655417e-08,2.145615826637622,0.05272139499999999,True,5.591671895867266e-07,13198.0,family with sequence similarity 3 member C,cg14175438,0
692,13651,cg14265075,6.050607202546702e-13,3.8275519570162064,0.163191525,True,5.100045249356801e-11,13283.0,Rho guanine nucleotide exchange factor 11,cg14265075,0
701,13817,cg14424579,1.3908657313419347e-15,2.7381239992381867,0.03942538,True,2.592397416297675e-13,13449.0,ATP/GTP binding protein like 5,cg14424579,1
703,13839,cg14446712,5.1924336197855916e-30,2.4401063872153714,0.3869262000000001,True,6.871407030743263e-26,13472.0,caveolae associated protein 2,cg14446712,1
705,13877,cg14473016,8.72465165445161e-12,2.443952170819041,0.069080845,True,5.407853754996972e-10,13508.0,RASD family member 2,cg14473016,0
730,14267,cg14870271,4.644176715141182e-16,2.185938119194752,0.22579485000000005,True,1.0158464885920798e-13,13884.0,galectin 3 binding protein,cg14870271,1
732,14294,cg14896516,2.2791375639059786e-12,2.046275406737229,0.043892535,True,1.639182986519009e-10,13911.0,corticotropin releasing hormone receptor 2,cg14896516,1
736,14390,cg15006396,2.2384798653676166e-13,2.2475291655237997,0.19466495,True,2.1622571750614856e-11,14011.0,NFKB inhibitor zeta,cg15006396,1
747,14572,cg15201877,3.439355888650329e-10,2.4053409563822234,0.04177220000000001,True,1.336702383331986e-08,,,,1
768,15012,cg15633390,4.102980787907788e-13,2.130135341137081,0.22466825,True,3.6318927262058674e-11,14611.0,eukaryotic translation initiation factor 4E,cg15633390,0
771,15084,cg15696627,6.16416467945025e-17,2.0513270476800947,0.024323245,True,1.7733363757718454e-14,14680.0,msh homeobox 1,cg15696627,1
781,15192,cg15784332,9.129270612888826e-10,2.1475461255633417,0.16591635,True,3.142059887013375e-08,14785.0,cartilage oligomeric matrix protein,cg15784332,1
785,15303,cg15878317,1.7865989264261734e-07,2.179467253917141,0.083136725,True,3.0585972694515867e-06,14897.0,nicotinamide nucleotide adenylyltransferase 3,cg15878317,1
792,15471,cg16042149,2.7438597066780496e-15,2.2096611672002853,0.101544045,True,4.664660235436106e-13,15065.0,neurofilament heavy,cg16042149,1
810,15817,cg16408394,6.357371319886964e-10,3.455052473202215,0.048560005,True,2.3240407006001145e-08,15402.0,retinoid X receptor alpha,cg16408394,0
833,16254,cg16899442,4.720826849926715e-15,2.041645702824054,0.07420033999999999,True,7.572492378000629e-13,,,,0
842,16497,cg17166812,1.1036632080572152e-21,2.5234504545412264,0.18016645,True,1.0818760788018636e-18,16064.0,NADH:ubiquinone oxidoreductase core subunit S2,cg17166812,1
847,16532,cg17192247,9.534869845563291e-14,2.8768327017415998,0.069938885,True,1.0603336142963177e-11,16099.0,microtubule associated protein RP/EB family member 3,cg17192247,0
848,16567,cg17237813,7.186155640425235e-23,2.293658394098727,0.2869899000000001,True,9.509799066756734e-20,16129.0,tubulin tyrosine ligase like 7,cg17237813,0
855,16855,cg17547792,5.359337122263333e-10,2.122214796413755,0.0320382,True,1.9922131406593205e-08,16412.0,G protein-coupled estrogen receptor 1,cg17547792,1
861,16992,cg17706173,3.0052246927809486e-18,3.3882579910034223,0.29301799999999995,True,1.2428012803723964e-15,16551.0,transmembrane protein 204,cg17706173,0
882,17249,cg17950095,1.430238296340361e-05,2.0393641007932235,0.05321407,True,0.00012456109571977735,16798.0,homeobox A11,cg17950095,1
885,17293,cg18008766,8.847798719822002e-15,2.6956703328455154,0.05111507499999999,True,1.3230208402120278e-12,16845.0,serine and arginine rich splicing factor 7,cg18008766,1
888,17382,cg18108623,6.623492054755101e-10,2.0029063840591057,0.03249008,True,2.4047183019643795e-08,16932.0,schlafen family member 11,cg18108623,1
907,17720,cg18454685,8.519392239506407e-20,4.326192235711069,0.156160285,True,5.1246080546140014e-17,17265.0,calcium voltage-gated channel subunit alpha1 G,cg18454685,1
911,17815,cg18555440,1.749845577315391e-21,2.3282403098735096,0.055517389999999986,True,1.5437720964935482e-18,17356.0,myogenic differentiation 1,cg18555440,1
914,17848,cg18592174,1.9468910812164333e-07,2.3452027585985067,0.20074185,True,3.300984384788939e-06,17388.0,choline O-acetyltransferase,cg18592174,1
926,18085,cg18855178,3.176777449417129e-07,2.039939401957468,0.03049901,True,5.02785495734813e-06,17620.0,proprotein convertase subtilisin/kexin type 4,cg18855178,1
931,18186,cg18958531,5.2526031004210366e-09,2.058155040076725,0.07648224,True,1.4441431038859836e-07,17719.0,perilipin 3,cg18958531,1
