,Reporter Identifier,R,p
0,cg00000292,-0.024179313930512404,0.4554586548099281
1,cg00002426,-0.04614271193549266,0.15420257069477283
2,cg00003994,0.06181648090394805,0.05617907958545332
3,cg00005847,0.10439186757129741,0.0012351553997132971
4,cg00006414,-0.047208970932635264,0.1448944448527457
5,cg00007981,0.04244107975386711,0.19004954186985934
6,cg00008493,0.01721005976618966,0.5952895162242308
7,cg00008713,0.0008251613703549265,0.9796827649764129
8,cg00009407,-0.08335610581975028,0.009964112118317138
9,cg00010193,-0.04611500373425757,0.15445036557566832
10,cg00011459,-0.046325104918839004,0.15257894942547626
11,cg00012199,-0.040446722993568086,0.21173746694294512
12,cg00012386,0.02653365723339262,0.4127625237462878
13,cg00012792,-0.011067137695815374,0.7326736790672812
14,cg00013618,0.04816593211212682,0.1369120299484513
15,cg00014085,-0.040870641282742856,0.20698420897587874
16,cg00014837,-0.04187914884823333,0.19598797025784906
17,cg00015770,0.19136319711258076,2.504850970441579e-09
18,cg00016968,0.11798919787580739,0.0002579602912125649
19,cg00019495,-0.06348405214316365,0.049848520854436806
20,cg00020533,-0.03029466797389382,0.34969199219194114
21,cg00021527,-0.04734022032266364,0.14377903681309928
22,cg00022606,-0.06778037294899837,0.03623438426282538
23,cg00022866,0.1917319481761013,2.3315282184801942e-09
24,cg00024396,-0.021678842645732055,0.5034035576968844
25,cg00024812,-0.029329284858677765,0.3652679313236079
26,cg00025138,-0.06253149931955476,0.053387230061146415
27,cg00025991,-0.08563882988594104,0.008099280584778717
28,cg00027083,0.1011092888025869,0.0017569140305705568
29,cg00027674,0.0646721504451164,0.045712031071532606
30,cg00029826,0.05047093087015785,0.11907743810107044
31,cg00029931,0.036797191258136096,0.2559390826886983
32,cg00030047,0.0972443210864887,0.00262674688685633
33,cg00031162,-0.041280949554222214,0.20245765858955547
34,cg00032227,-0.022969884246726732,0.47832204918808396
35,cg00032666,0.0010659789194446372,0.9737552169711855
36,cg00033516,-0.008333378560239607,0.7970288596780745
37,cg00033773,-0.07009997824354809,0.030301040167961507
38,cg00034039,0.01866893953994487,0.5644649702429456
39,cg00035347,0.010914161884976549,0.7362303902083506
40,cg00035623,0.025488250191521088,0.4314214905381516
41,cg00037763,0.08551647189063065,0.008190708769291505
42,cg00037940,0.05775921915087415,0.07440915663229809
43,cg00040861,-0.024006503739775257,0.45868741749129244
44,cg00040873,0.1680295244076916,1.760415434670493e-07
45,cg00041575,-0.00860324804687522,0.790606190284567
46,cg00042156,-0.0851169200799179,0.00849571790011313
47,cg00043004,0.2879969370865363,1.0715811809209505e-19
48,cg00043080,0.030362053212078428,0.3486207126412762
49,cg00044245,-0.027034328320290985,0.4039980452996754
50,cg00044729,0.09227009088905992,0.0043201786928007205
51,cg00047050,-0.0062838974088815615,0.8462233856660316
52,cg00047469,-0.03218999642282529,0.3203569947572578
53,cg00049986,0.012022334320350056,0.7105973752082556
54,cg00050312,-0.034363396774294244,0.28875484333989904
55,cg00051623,-0.019470692076918192,0.5478578581807068
56,cg00051979,-0.00805104556000946,0.8037628627136575
57,cg00053292,-0.023665321852073175,0.4650994714214446
58,cg00053647,-0.040445157634796385,0.2117551635645729
59,cg00054706,-0.015128888740059358,0.6405402463881874
60,cg00055233,0.11714809934621596,0.0002856322624277712
61,cg00056767,0.056801237797566684,0.07935334136957851
62,cg00057593,0.17650126011325604,4.009168320276815e-08
63,cg00058938,-0.016134939592818268,0.6184850166406797
64,cg00059225,0.3020723426528544,1.3398110011077605e-21
65,cg00059424,0.013149848641757096,0.6848483523598077
66,cg00059740,-0.043460906049850104,0.1796119854219101
67,cg00059930,0.22924766787654222,7.45120130912964e-13
68,cg00060762,-0.02479494322315626,0.44406071714000533
69,cg00060882,-0.06955633671601569,0.031611182865167876
70,cg00061059,0.05768205229844908,0.0747978805741478
71,cg00061629,-0.06020735765856892,0.06290773758575131
72,cg00062776,0.050602154243002476,0.1181195769106505
73,cg00063144,0.006378942970290305,0.8439271001542787
74,cg00065385,-0.0027282377052981074,0.9328968870734985
75,cg00065408,-0.01818971489641143,0.5745055563950777
76,cg00066153,0.028070584020516594,0.38621494313472415
77,cg00066816,0.21072950556061862,4.7791120651817965e-11
78,cg00067471,-0.1186531498314302,0.00023791099323023434
79,cg00069261,-0.004594030661562487,0.8872502411946984
80,cg00071250,0.10079818366107801,0.0018156423295785297
81,cg00071998,0.014453852703666567,0.6555201085423339
82,cg00072216,-0.06670818529129831,0.039295005327404715
83,cg00075967,0.32412220594731667,8.485767544483216e-25
