,Reporter Identifier,R,p
0,cg00000292,0.00434712235312394,0.9307601122820713
1,cg00002426,-0.15595245728557536,0.001710876086599574
2,cg00003994,0.00015954140199468846,0.9974556825629745
3,cg00005847,0.03010294493614668,0.5472945367655135
4,cg00006414,-0.052440755853798496,0.2942325885153225
5,cg00007981,0.027308680988285042,0.5851111711017697
6,cg00008493,0.08251426005717584,0.09851979974622666
7,cg00008713,0.042374731766378446,0.39680242019169837
8,cg00009407,-0.11044015337798734,0.026815006450187442
9,cg00010193,-0.002113954703723088,0.9662972314762551
10,cg00011459,-0.07971477889516783,0.11052454933338754
11,cg00012199,-0.06429938779550694,0.19826307453113423
12,cg00012386,0.01819600505622163,0.7160649873728266
13,cg00012792,0.06448387532863535,0.1969760700291703
14,cg00013618,0.030622382064623668,0.5403997706518366
15,cg00014085,-0.07587003182467897,0.12885260276467309
16,cg00014837,-0.09741353286307632,0.050974150297215436
17,cg00015770,0.009174071303347811,0.8545072069786877
18,cg00016968,0.12046094915375252,0.015669693187367946
19,cg00019495,-0.14669734631470827,0.003197557817084954
20,cg00020533,-0.07203979875567461,0.14936738449035125
21,cg00021527,-0.07100730975101065,0.1553013090049176
22,cg00022866,0.3578661732678236,1.3688408158929604e-13
23,cg00024396,-0.1119069216121632,0.024845775908868224
24,cg00024812,-0.040197800211479257,0.4215248456376855
25,cg00025138,-0.0760284199932858,0.12805376882539807
26,cg00025991,-0.07478520742916354,0.1344280201678782
27,cg00027083,0.019566352950009525,0.695708536050006
28,cg00027674,0.07355902126406148,0.14095166228824335
29,cg00029826,0.10030489042381205,0.044440096999702465
30,cg00029931,0.029499670520692668,0.5553561598149058
31,cg00030047,0.07431447354951044,0.1369043937223265
32,cg00031162,-0.34549194554573204,1.0322489809192887e-12
33,cg00032227,-0.07519429401756998,0.13230410004594215
34,cg00032666,-0.06921333977504791,0.16603309677064018
35,cg00033516,-0.04499850879732024,0.3681927574431375
36,cg00033773,-0.22904743716446305,3.485553144230727e-06
37,cg00034039,-0.001295138178809434,0.9793477958686652
38,cg00035347,-0.17580430556460763,0.000397843251208698
39,cg00035623,-0.017922229093296164,0.72015668062594
40,cg00037763,0.007436492095236364,0.881838520683686
41,cg00037940,0.036851432511114446,0.46123275679958625
42,cg00040861,-0.07456653515606802,0.13557405655365623
43,cg00040873,0.09920563947627159,0.04683613120604975
44,cg00041575,0.04063366426317783,0.4165041359191165
45,cg00042156,-0.017217681176816612,0.7307229660695987
46,cg00043004,0.1146744689523129,0.021468203905643673
47,cg00043080,-0.007794490016291971,0.8761947959268572
48,cg00044245,-0.08422795352696034,0.09169865912415978
49,cg00044729,0.005114745136328849,0.9185728005665763
50,cg00047050,-0.1388942023192209,0.005275981956081731
51,cg00047469,-0.06981877163128744,0.16235088626633062
52,cg00049986,0.04002658771865449,0.4235066731404872
53,cg00050312,-0.08721725757199295,0.08070937297568923
54,cg00051979,-0.01396148115947619,0.7801920552834279
55,cg00053292,-0.02648389272152782,0.5965004055420812
56,cg00054706,-0.023670636129221947,0.6360824553314184
57,cg00056767,-0.06877110914138103,0.16876202263556625
58,cg00057593,0.1534917813404162,0.0020271497863768276
59,cg00058938,-0.18029814334261995,0.0002795697198360862
60,cg00059225,0.031651448693520226,0.5268694691348423
61,cg00059424,-0.01135606712370018,0.8204340405839973
62,cg00059740,-0.07294433526582436,0.14431188890654792
63,cg00059930,0.22736432436928786,4.126782415776374e-06
64,cg00060762,-0.07231050236629175,0.1478404902059788
65,cg00060882,-0.15233708306760305,0.0021932605665092144
66,cg00061059,0.08004355001923619,0.10905772243648496
67,cg00061629,0.11138366450841265,0.025533473247813104
68,cg00062776,0.08857342202317359,0.0760880618945033
69,cg00063144,-0.06323593252630118,0.20580143378018223
70,cg00065385,-0.028087397921789273,0.5744514361163016
71,cg00065408,0.013603979904713128,0.7856818518227948
72,cg00066153,0.006321120301196333,0.8994590907603083
73,cg00066816,0.41213116843174513,6.479904260154477e-18
74,cg00067471,-0.14350711308199168,0.003935486035561109
75,cg00069261,-0.08100294749408124,0.10486489903540934
76,cg00071250,0.05034915301911719,0.3139382870682188
77,cg00071998,-0.011435761328243576,0.8191955266429298
78,cg00072216,-0.1348992174804613,0.006754935662705294
79,cg00075967,0.3079437171178218,2.8086480970452273e-10
80,cg00076645,-0.045642233891454845,0.361373998214452
81,cg00077457,-0.04842189687069918,0.3328441361324812
82,cg00077877,-0.0559934791508443,0.2626929734434371
83,cg00078194,-0.032459137608924604,0.5163718839046877
84,cg00078867,0.042486446874788225,0.39555768972083233
85,cg00079056,0.21548149835130148,1.3111168884454493e-05
86,cg00079563,-0.043996022012958644,0.37896943293624413
87,cg00080012,-0.07314193142770967,0.1432251083091064
88,cg00081935,0.06612780661342924,0.18577603324060873
89,cg00081975,0.18960465776900257,0.00013105319408922557
90,cg00083720,-0.009565560560096425,0.8483719951879503
91,cg00083937,-0.1875419845091541,0.0001555065185781355
92,cg00084687,-0.09232951896598424,0.0644017087850045
93,cg00089071,-0.03928853767661659,0.4321117362867601
94,cg00090147,0.14193219867039197,0.004353834045527202
95,cg00091693,0.017350320545708363,0.7287297751402176
96,cg00093177,-0.10160928184965864,0.04173142432518191
97,cg00094851,0.0002560124431319128,0.9959172027896909
98,cg00095526,0.32329918878747577,3.1129545579837424e-11
99,cg00095674,0.0204544142430146,0.6826310547494043
100,cg00096922,-0.05519787706417478,0.26954554961594024
101,cg00097536,0.23500793694678057,1.896918360661843e-06
102,cg00098162,-0.042371023711735664,0.3968437756937185
103,cg00098239,-0.021498513234408045,0.6673765686762284
104,cg00099550,0.027844492295239852,0.5777666937910145
105,cg00101227,0.22507569577415668,5.181353246103971e-06
106,cg00103783,-0.07182824698013052,0.15056895756091113
107,cg00105253,0.0660929735561979,0.1860083798901828
