,index,Unnamed: 0,Reporter Identifier,stat,p,fold_change,beta1,beta2,Rejection on 0.05,qval,id1,id2
6,48005,48005,ch.2.30415474F,6.162435977959581,2.3856740630765385e-08,0.6314713815941507,0.10512605833333333,0.06638409729729727,True,0.010274342303714601,0,2
14,140767,140767,cg24724428,-6.355737484471389,1.025058336995264e-08,1.5785922354266495,0.11642828333333333,0.183792784054054,True,0.004427687333134034,0,2
17,153491,153491,cg02286081,7.216157345283631,2.1907940106847891e-10,0.6599301979614594,0.2599984083333333,0.171580801081081,True,9.483827023670788e-05,0,2
24,197712,197712,cg00292135,-5.9115335099118225,7.048220631112321e-08,1.6123246157262168,0.07590396333333332,0.12238182851351352,True,0.03004993767256592,0,2
33,302881,302881,ch.13.39564907R,6.678592380136597,2.4575328112665283e-09,0.5984882281510826,0.09822745416666666,0.05878797500000001,True,0.0010633199040143149,0,2
36,320943,320943,ch.14.97331099F,6.200903025055398,2.0178852731586937e-08,0.5607757699674322,0.0569513975,0.03193696378378379,True,0.008697322437662747,0,2
37,326707,326707,cg04875128,-6.063784607321867,3.659310286680503e-08,2.4426814537002883,0.08888923916666668,0.21712809594594595,True,0.015716091232827578,0,2
42,388532,388532,cg16762684,7.657307945104955,2.930194581139909e-11,0.5629581681949241,0.0972285175,0.054735588108108114,True,1.2685266295831e-05,0,2
0,11080,11080,ch.1.839062R,6.489087822306862,1.2219112106950842e-09,0.6493403441037735,0.10480655333333333,0.06805512340579715,True,0.0005287607710545705,0,3
22,32087,32087,ch.1.171672612F,6.090869857577992,9.241445207530524e-09,0.6631351192598294,0.09352164166666667,0.062017485000000025,True,0.003991690940244097,0,3
27,36379,36379,cg10501210,9.81663750671134,7.908500462608396e-18,0.6488508813065702,0.9022541583333336,0.5854284057971012,True,0.0,0,3
32,48005,48005,ch.2.30415474F,7.1086864121298925,4.621420128827538e-11,0.6084755203191686,0.10512605833333333,0.06396663304347827,True,2.000521130141042e-05,0,3
42,57011,57011,ch.2.105901354F,6.219771188670096,4.837005762276287e-09,0.5449120101620668,0.09627877083333336,0.05246345855072464,True,0.002091319458386587,0,3
43,60029,60029,cg23606718,-5.592280278337388,1.0510695959206213e-07,1.5693776681778309,0.12268658083333332,0.1925415801449276,True,0.04446158242674869,0,3
45,61222,61222,cg00573770,7.122507412461696,4.288974910220646e-11,0.6532327723281227,0.5351627333333333,0.3495858359420292,True,1.8566179940671113e-05,0,3
49,66997,66997,cg22162281,-6.213353991864611,4.996313193295229e-09,1.6624397640959363,0.05872435750000001,0.09762570702898546,True,0.002160117876101264,0,3
50,67124,67124,ch.2.207814544R,5.744724591926058,5.062050418088863e-08,0.5924790766001187,0.07763832833333334,0.04599908507971017,True,0.021667532148959445,0,3
59,81776,81776,cg12934382,-8.378361142920905,3.810673548013235e-14,1.5539103563730554,0.2993254,0.4651248389855073,True,1.6485493969931042e-08,0,3
65,92253,92253,cg09401099,-6.058087525566813,1.0882506048246411e-08,1.862043324656472,0.06332307583333334,0.1179103106521739,True,0.004698787560118545,0,3
76,125077,125077,cg25316339,-5.987066189733135,1.5480715686162058e-08,1.8102247524879231,0.05195550166666666,0.09405113514492754,True,0.006677397080019243,0,3
84,140767,140767,cg24724428,-8.353068782347034,4.408065078533538e-14,1.930967867505624,0.11642828333333333,0.22481927398550725,True,1.9080833690843235e-08,0,3
