,Marker,Coefficient,Unnamed: 0,UCSC_RefGene_Name_x,Name_x,Unnamed: 0_x,Reporter Identifier,p,fold_change,abs_change,Rejection on 0.05,qval,Unnamed: 0_y,UCSC_RefGene_Name_y,Name_y,cluster
0,cg05675373,0.346355946,5268.0,potassium voltage-gated channel subfamily C member 4,cg05675373,5427,cg05675373,4.559425408470242e-20,2.581508681768419,0.07744444,True,2.8731979115709976e-17,5268.0,potassium voltage-gated channel subfamily C member 4,cg05675373,1
1,cg08370996,0.8129076279999999,7745.0,nuclear receptor subfamily 2 group F member 2,cg08370996,7976,cg08370996,2.2526025924945603e-16,2.6717681236098314,0.06875667999999999,True,5.273572545597931e-14,7745.0,nuclear receptor subfamily 2 group F member 2,cg08370996,1
2,cg10523019,0.5146467779999999,9735.0,rhomboid domain containing 1,cg10523019,10001,cg10523019,1.4514064486637178e-22,2.751776499710588,0.058319425000000015,True,1.7461079307628463e-19,9735.0,rhomboid domain containing 1,cg10523019,1
3,cg11932564,0.7000010790000001,11088.0,TNF receptor superfamily member 13C,cg11932564,11394,cg11932564,1.552344012653185e-27,5.252685838771544,0.23351196,True,6.847648163815307e-24,11088.0,TNF receptor superfamily member 13C,cg11932564,1
4,cg12373771,0.533301546,11456.0,transmembrane protein 121B,cg12373771,11782,cg12373771,4.574140071440202e-16,2.0442571735837887,0.054264965,True,1.0088647105900653e-13,11456.0,transmembrane protein 121B,cg12373771,1
5,cg13460409,0.41202331299999995,12492.0,ripply transcriptional repressor 3,cg13460409,12834,cg13460409,6.128519180132458e-22,3.4125701399765327,0.26040305,True,6.48814068562263e-19,12492.0,ripply transcriptional repressor 3,cg13460409,1
6,cg14424579,3.0674702689999997,13449.0,ATP/GTP binding protein like 5,cg14424579,13817,cg14424579,1.3908657313419347e-15,2.7381239992381867,0.03942538,True,2.592397416297675e-13,13449.0,ATP/GTP binding protein like 5,cg14424579,1
7,cg18984151,0.315009523,17742.0,elongator acetyltransferase complex subunit 6,cg18984151,18211,cg18984151,6.383227361816054e-07,2.216977507766954,0.075313365,True,9.078177247994922e-06,17742.0,elongator acetyltransferase complex subunit 6,cg18984151,1
8,cg23941599,0.266499641,22344.0,fem-1 homolog C,cg23941599,22958,cg23941599,4.173357205487973e-19,2.049877991904992,0.12606305,True,2.254209084850004e-16,22344.0,fem-1 homolog C,cg23941599,1
9,cg25505610,1.50223047,23843.0,eukaryotic translation initiation factor 3 subunit M,cg25505610,24493,cg25505610,2.995005739118923e-22,2.75601512701296,0.02643017,True,3.3028673707191893e-19,23843.0,eukaryotic translation initiation factor 3 subunit M,cg25505610,1
10,cg27494383,0.064596615,25638.0,leukocyte receptor tyrosine kinase,cg27494383,26318,cg27494383,1.4788668435455349e-12,2.5512987864037098,0.07054493999999999,True,1.1025681337498499e-10,25638.0,leukocyte receptor tyrosine kinase,cg27494383,1
11,cg01511567,-0.686111875,1424.0,structure specific recognition protein 1,cg01511567,1460,cg01511567,1.0607654417925272e-10,2.3506789489499145,0.080033745,True,4.823931090708388e-09,1424.0,structure specific recognition protein 1,cg01511567,0
12,cg14175438,-0.336713957,13198.0,family with sequence similarity 3 member C,cg14175438,13567,cg14175438,2.562699969655417e-08,2.145615826637622,0.05272139499999999,True,5.591671895867266e-07,13198.0,family with sequence similarity 3 member C,cg14175438,0
13,cg16408394,-1.719195146,15402.0,retinoid X receptor alpha,cg16408394,15817,cg16408394,6.357371319886964e-10,3.455052473202215,0.048560005,True,2.3240407006001145e-08,15402.0,retinoid X receptor alpha,cg16408394,0
14,cg16899442,-0.153803786,,,,16254,cg16899442,4.720826849926715e-15,2.041645702824054,0.07420033999999999,True,7.572492378000629e-13,,,,0
