,Unnamed: 0_x,Reporter Identifier,p,fold_change,Rejection on 0.05,qval,Unnamed: 0_y,UCSC_RefGene_Name,Name,cluster
11,204,cg00186701,3.0487661336567154e-11,2.1157698975889043,True,1.6587702631356814e-09,188.0,TSPY like 5,cg00186701,1
26,555,cg00540544,3.290451504078942e-12,2.303394738899716,True,2.2772908192965493e-10,514.0,cysteine and glycine rich protein 1,cg00540544,2
57,1231,cg01234133,2.6562412047043544e-13,2.0304817382391,True,2.473996045439215e-11,1154.0,collagen type I alpha 1 chain,cg01234133,3
59,1269,cg01274660,1.7427123740540444e-18,2.6923715153724044,True,7.849633637624412e-16,1190.0,thyroid hormone receptor interactor 6,cg01274660,3
67,1434,cg01431114,2.371459908699095e-13,2.0434924669800574,True,2.2862537702251344e-11,1345.0,phosphodiesterase 10A,cg01431114,2
69,1519,cg01511567,1.0607654417925272e-10,2.3506789489499145,True,4.809503511335228e-09,1424.0,structure specific recognition protein 1,cg01511567,1
75,1585,cg01580888,1.785448720731498e-13,2.497972417426071,True,1.7774271395224144e-11,1484.0,rhophilin Rho GTPase binding protein 2,cg01580888,2
79,1660,cg01655355,3.279766037646133e-11,2.2771012509053143,True,1.7635000322967738e-09,1554.0,solute carrier family 5 member 5,cg01655355,3
81,1685,cg01671575,3.174488108180694e-12,2.3730322724593664,True,2.2025816984942616e-10,1577.0,piggyBac transposable element derived 5,cg01671575,1
94,2027,cg02008416,1.0292718431396616e-13,2.096640114345877,True,1.1267041100440375e-11,1895.0,transmembrane protein 61,cg02008416,1
112,2355,cg02332073,4.662033133816946e-27,2.071186656835422,True,1.8299146054964916e-23,2204.0,testis specific 13,cg02332073,3
120,2610,cg02624129,3.360064268288108e-06,2.14334500807094,True,3.6318302846374525e-05,2437.0,sorting nexin 19,cg02624129,0
123,2712,cg02724472,7.220707773130977e-19,2.1763201964817367,True,3.5040873388230414e-16,2532.0,leucine rich repeat containing 17,cg02724472,3
125,2716,cg02727423,2.2585643292397513e-23,2.1671230944983937,True,3.6503713829524356e-20,2536.0,EMAP like 1,cg02727423,1
136,2941,cg02951021,2.353688736021407e-09,2.047625929548944,True,7.044657049120281e-08,2754.0,dynein light chain LC8-type 1,cg02951021,0
156,3351,cg03359508,7.870196616920662e-10,2.1278128460479704,True,2.7546690732039757e-08,3126.0,annexin A11,cg03359508,1
158,3450,cg03451296,1.6997934568530946e-12,2.5302976224320046,True,1.2521052284315182e-10,3217.0,cysteine rich protein 2,cg03451296,2
162,3539,cg03538436,7.592758131518377e-09,2.4859848100339343,True,1.9662452631630437e-07,3305.0,nitric oxide synthase 1,cg03538436,3
164,3574,cg03567830,3.0108646377234045e-11,2.2324469021131046,True,1.6446623615524507e-09,3337.0,neurotensin receptor 1,cg03567830,2
168,3659,cg03663715,5.4875712303833835e-17,2.1586450047656425,True,1.6040053949575942e-14,3411.0,forkhead box D1,cg03663715,2
169,3662,cg03664992,2.69448838204677e-23,2.606022564240946,True,4.1129868213953915e-20,3414.0,bone morphogenetic protein 8a,cg03664992,2
176,3747,cg03743584,7.348920218447327e-10,2.0942662799146605,True,2.598699252536149e-08,3496.0,proline rich acidic protein 1,cg03743584,2
204,4364,cg04355435,9.496892165181329e-18,2.0242991579533456,True,3.3887871315652232e-15,4075.0,transmembrane protein 125,cg04355435,3
209,4445,cg04439215,6.950752406721534e-23,2.5475948687618937,True,8.974855108014716e-20,4150.0,potassium channel tetramerization domain containing 4,cg04439215,3
216,4556,cg04533291,1.4851656897068183e-12,2.1048726584075905,True,1.1058648371377924e-10,4251.0,cytosolic iron-sulfur assembly component 1,cg04533291,1
240,4986,cg04969878,1.9692747678328707e-17,2.089246621660344,True,6.5190112675874645e-15,4647.0,transmembrane protein 19,cg04969878,1
241,5003,cg04987894,1.768773450850932e-09,2.1033994574276718,True,5.5100702194535386e-08,4661.0,glutathione S-transferase mu 5,cg04987894,2
254,5265,cg05275752,7.510178316948925e-15,2.9660805083078183,True,1.1527913934999366e-12,4906.0,galactose mutarotase,cg05275752,3
258,5428,cg05443740,8.752558290424223e-11,2.4504037970628736,True,4.09097213200282e-09,5060.0,potassium voltage-gated channel interacting protein 3,cg05443740,3
267,5597,cg05628549,8.657021115957188e-11,2.3575434959922967,True,4.059049695939244e-09,5223.0,caveolae associated protein 3,cg05628549,3
268,5647,cg05675373,4.559425408470242e-20,2.581508681768419,True,2.84715392098019e-17,5268.0,potassium voltage-gated channel subfamily C member 4,cg05675373,2
274,5776,cg05813234,0.0007414866061229315,2.005317416558209,True,0.0028992580033917275,5391.0,ribosomal protein S6 kinase A6,cg05813234,0
279,5834,cg05874478,6.680226374625218e-11,2.114175468298739,True,3.260140317392584e-09,5447.0,proteasome activator subunit 2,cg05874478,0
287,5948,cg05989054,6.473553609208594e-17,2.7392669390860287,True,1.8527849892355764e-14,5554.0,guanidinoacetate N-methyltransferase,cg05989054,1
288,6012,cg06071083,1.4930092346542348e-09,2.0540553763980918,True,4.7534092388597623e-08,5612.0,solute carrier family 12 member 4,cg06071083,2
291,6080,cg06151165,2.892892559787098e-19,5.3692042036118695,True,1.6221452239328632e-16,5678.0,visual system homeobox 1,cg06151165,3
305,6365,cg06424894,7.281572681851043e-11,2.3782597841006576,True,3.503826462461283e-09,5945.0,sorbitol dehydrogenase,cg06424894,1
316,6535,cg06580318,1.2787506763471873e-15,2.210916155534559,True,2.423100247125194e-13,6106.0,SPC25 component of NDC80 kinetochore complex,cg06580318,2
321,6614,cg06650260,2.2357587110089408e-10,2.137239259324607,True,9.237549826117543e-09,6179.0,nuclear receptor subfamily 0 group B member 2,cg06650260,1
336,6737,cg06784339,8.679531736557632e-07,2.0019794107015825,True,1.1543021006469385e-05,6295.0,makorin ring finger protein 1,cg06784339,0
356,7069,cg07105440,2.641581543565258e-10,2.266688424143835,True,1.0689262811634615e-08,6605.0,cytokine inducible SH2 containing protein,cg07105440,2
